"continent","start_point","random","end_point","diversity"
"Asia",2022.9,1,2023.9,1.64783672464437
"Africa",2022.9,1,2023.9,1.34817888517223
"Europe",2022.9,1,2023.9,1.35668142417388
"North America",2022.9,1,2023.9,1.54566443378649
"Asia",2023,1,2024,1.56435422748858
"Africa",2023,1,2024,1.37110469902341
"Europe",2023,1,2024,1.3602269856986
"North America",2023,1,2024,1.60597873219253
"Asia",2023.1,1,2024.1,1.51602459020121
"Africa",2023.1,1,2024.1,1.40678053000049
"Europe",2023.1,1,2024.1,1.36009948973425
"North America",2023.1,1,2024.1,1.5347713120128
"Asia",2023.2,1,2024.2,1.35596073673357
"Africa",2023.2,1,2024.2,1.09019911365913
"Europe",2023.2,1,2024.2,1.40669116298975
"North America",2023.2,1,2024.2,1.31590152307167
"Asia",2023.3,1,2024.3,1.34510847194415
"Africa",2023.3,1,2024.3,1
"Europe",2023.3,1,2024.3,1.3475973443784
"North America",2023.3,1,2024.3,1.31389873127157
"Asia",2023.4,1,2024.4,1.34510847194415
"Africa",2023.4,1,2024.4,1
"Europe",2023.4,1,2024.4,1.41466655017961
"North America",2023.4,1,2024.4,1.31165470263419
"Asia",2023.5,1,2024.5,1.3416438037913
"Africa",2023.5,1,2024.5,1
"Europe",2023.5,1,2024.5,1.46697812392838
"North America",2023.5,1,2024.5,1.31165470263419
"Asia",2020,2,2021,1.3998109445087
"Africa",2020,2,2021,1.29012776925653
"Europe",2020,2,2021,1.16163185895591
"North America",2020,2,2021,NA
"Asia",2020.1,2,2021.1,1.43770827601131
"Africa",2020.1,2,2021.1,1.2613311378311
"Europe",2020.1,2,2021.1,1.14753416974432
"North America",2020.1,2,2021.1,NA
"Asia",2020.2,2,2021.2,1.27876483172714
"Africa",2020.2,2,2021.2,1.12589067231729
"Europe",2020.2,2,2021.2,1.13619222951659
"North America",2020.2,2,2021.2,NA
"Asia",2020.3,2,2021.3,1.29193026429132
"Africa",2020.3,2,2021.3,1.09433260295288
"Europe",2020.3,2,2021.3,1.15056233092331
"North America",2020.3,2,2021.3,NA
"Asia",2020.4,2,2021.4,1.5751901937953
"Africa",2020.4,2,2021.4,1.21663987368532
"Europe",2020.4,2,2021.4,1.18881900435214
"North America",2020.4,2,2021.4,NA
"Asia",2020.5,2,2021.5,1.62410271049144
"Africa",2020.5,2,2021.5,1.1084261804363
"Europe",2020.5,2,2021.5,1.13769387394144
"North America",2020.5,2,2021.5,NA
"Asia",2020.6,2,2021.6,1.62965895966906
"Africa",2020.6,2,2021.6,1.25922787773346
"Europe",2020.6,2,2021.6,1.14798755119048
"North America",2020.6,2,2021.6,NA
"Asia",2020.7,2,2021.7,1.47560497090262
"Africa",2020.7,2,2021.7,1.28735609249082
"Europe",2020.7,2,2021.7,1.11968661210033
"North America",2020.7,2,2021.7,NA
"Asia",2020.8,2,2021.8,1.61868093447818
"Africa",2020.8,2,2021.8,1.21202831774214
"Europe",2020.8,2,2021.8,1.26020824945193
"North America",2020.8,2,2021.8,NA
"Asia",2020.9,2,2021.9,1.6096823691351
"Africa",2020.9,2,2021.9,1.1347313761776
"Europe",2020.9,2,2021.9,1.52884031635046
"North America",2020.9,2,2021.9,NA
"Asia",2021,2,2022,1.61792529464082
"Africa",2021,2,2022,1.16785454733178
"Europe",2021,2,2022,1.34176879071458
"North America",2021,2,2022,1
"Asia",2021.1,2,2022.1,1.58497971084119
"Africa",2021.1,2,2022.1,1.12720750721883
"Europe",2021.1,2,2022.1,1.42613258625948
"North America",2021.1,2,2022.1,1
"Asia",2021.2,2,2022.2,1.29773268532867
"Africa",2021.2,2,2022.2,1.14158330562283
"Europe",2021.2,2,2022.2,1.34983237976271
"North America",2021.2,2,2022.2,1.38007197778615
"Asia",2021.3,2,2022.3,1.44541902164515
"Africa",2021.3,2,2022.3,1.15646200854116
"Europe",2021.3,2,2022.3,1.34801048662366
"North America",2021.3,2,2022.3,1.45225621787343
