# BEAST v10.5.0
# Generated Thu Jan 29 15:27:22 GMT 2026 [seed=1769700441805]
# 2344b_global_n5_SRD06_HMC.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(H5N5_2021_R5_Europe)	age(H5N5_2021_R5_Europe)	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.nu	CP3.nu	CP1+2.mu	CP3.mu	branchRatesHMC.rate	branchRatesHMC.scale	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-162440.67992076924	-147964.3464629906	-14476.333457778645	6.060478879200327	2018.0050948912915	18.515549772547722	3.3888283722378407	2020.6767453982538	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.5	0.5	0.75	1.5	0.001	1.0	9.999999999999997E-7	1.2809214249838109E-15	0.9833333333333333	-14476.333457778645	0.0	-25.14008117081831
10000	-3949.13256503097	-79.58711214503552	-3869.5454528859345	26.90368963213638	1997.1618841383554	100.8938204419498	5.785641567733483	2018.2799322027581	8.572031650377694	10.948408869894058	6.2608783856121315	0.2986840869320034	0.19449461708969853	0.23892701626239457	0.2678942797159034	0.3559422610059748	2.836998398645159	0.2551083114323451	0.744891688567656	0.3826624671485176	2.2346750657029677	0.008917969609554094	8.34374405844094	0.0029711717050692984	0.3856351088414783	0.13212612504795915	-3869.5454528859345	0.0	-96.27762290519561
20000	-3940.987700221793	-58.463153473754716	-3882.5245467480386	24.693757595459974	1999.3718161750317	87.83260348932673	4.2165145172336524	2019.849059253258	4.915054382965842	5.941985449549161	6.467347081990667	0.30815338219587307	0.17757722715165078	0.25162936907836025	0.26264002157411576	0.016680679992428563	1.2704837473860926	0.26693745700392585	0.733062542996075	0.4004061855058888	2.199187628988225	0.0062777247087359355	4.101227123968125	0.0035950367140423225	0.23049183846258053	0.12084749512319633	-3882.5245467480386	0.0	-88.84190989068264
30000	-3949.9330106297502	-66.96658185411333	-3882.966428775637	43.638521640634764	1980.427052129857	140.3453809126736	5.097098551289147	2018.9684752192027	10.314041360552242	7.6799436258235545	8.458292949793993	0.29000588112042075	0.19958437321735018	0.25575830050117365	0.25465144516105537	0.011464037551831738	2.053985000536948	0.25711023568381	0.7428897643161897	0.38566535352571496	2.228669292948569	0.006172466366263226	5.8427735455183845	0.002432847446433351	0.24688362450106982	0.05507877451335955	-3882.966428775637	0.0	-99.05907696429064
40000	-3950.754638976994	-79.98191912813049	-3870.7727198488637	37.54039873606524	1986.5251750344264	119.8080169170469	4.6861502512367625	2019.379423519255	11.96460750008877	7.108310669122778	7.306261443884623	0.30310151688480524	0.19094392973147023	0.23480824126677624	0.2711463121169483	0.2819382226084372	2.302655552649633	0.23750665424961345	0.762493345750385	0.35625998137442016	2.287480037251155	0.007336654520843059	5.911324068194902	0.002802387606977976	0.3015029023451836	0.014737948636594615	-3870.7727198488637	0.0	-97.87653206485105
50000	-3960.800617992552	-74.45571157580648	-3886.3449064167453	28.369158925543584	1995.696414844948	104.06738112592053	5.330891036634826	2018.734682733857	9.884108571766912	6.964407856027897	8.080845291993459	0.30974004317199055	0.19856252648425005	0.24316428156755804	0.2485331487762014	0.30404595075150065	1.22249716080213	0.25234804550827783	0.7476519544917192	0.37852206826241674	2.2429558634751574	0.008320133295968002	6.508179925588324	0.003389051610360662	0.2835040090323173	-0.13067358682618754	-3886.3449064167453	0.0	-96.2842980161196
60000	-3944.396448657234	-58.050083895915314	-3886.346364761319	29.76864172866416	1994.2969320418276	113.85415535041207	4.621884041104863	2019.4436897293867	8.046564670895446	10.81057387979963	7.327593231693799	0.3092547538517747	0.19252651868561985	0.2453205505876634	0.2528981768749421	0.24772086436771917	1.6376327512501496	0.2809745451087376	0.7190254548912599	0.4214618176631064	2.1570763646737796	0.006487958461367794	6.370886477027611	0.0026716440758642046	0.2300203377584066	0.035350189601805956	-3886.346364761319	0.0	-95.08329161059167
70000	-3936.9365233043322	-67.28522212620192	-3869.6513011781303	25.365067658107336	1998.7005061123843	85.67207590476872	5.126727568005179	2018.9388462024865	5.044025431910036	6.842427128787452	8.820934731656646	0.30308939255298184	0.1826263828388414	0.2536749139328911	0.26060931067528553	0.22735508284393052	1.8615024316708593	0.2744829548163992	0.7255170451835989	0.41172443222459887	2.1765511355507967	0.012636971427180326	9.182574639926244	0.0041098577175702	0.3541380976240498	0.0893289191118779	-3869.6513011781303	0.0	-85.5717421424312
80000	-3946.658897727529	-70.6218620662107	-3876.0370356613184	27.945770870402498	1996.1198029000893	97.19254868660923	5.155617206665834	2018.909956563826	6.559096793329633	9.036654301710819	5.799714572713675	0.29407871254172174	0.18749929747746827	0.256393267854239	0.26202872212657086	0.18478339699873572	1.6642735962702078	0.27815794950884853	0.7218420504911489	0.4172369242632728	2.165526151473447	0.005298528082267757	3.7734709723601223	0.0035857976539646484	0.2871246316991524	-0.043896867560059824	-3876.0370356613184	0.0	-92.7719119938956
90000	-3935.1983175059077	-59.33003097228725	-3875.8682865336204	26.17033652662125	1997.8952372438705	88.55045786878941	4.29941363245881	2019.766160138033	9.206947565618185	9.130288182103557	6.215118315240677	0.3113258038490764	0.19208571711224487	0.2461624146147575	0.25042606442392085	0.2931831957660838	2.138177962270259	0.257163522146262	0.7428364778537362	0.38574528321939294	2.2285094335612086	0.007474613626434161	4.290152783852038	0.0038267296325677934	0.25030740124166506	-0.07714029016927144	-3875.8682865336204	0.0	-89.78579068981018
100000	-3927.7340570645533	-59.189975264598914	-3868.5440817999543	26.93461777821358	1997.1309559922781	88.0543024614119	4.328080095463023	2019.7374936750286	5.7912896288338525	6.550357080442104	7.725917252035974	0.28862667014712606	0.20357434663685187	0.24510363301647373	0.2626953501995477	0.20102638039600262	2.6441881436936634	0.2982666598525764	0.7017333401474216	0.4473999897788646	2.1052000204422647	0.009911253488456825	6.727475110703181	0.003882234445026395	0.2966002427847248	0.005101043084317068	-3868.5440817999543	0.0	-85.49027642237368
110000	-3938.6417190947345	-43.44504817043308	-3895.1966709243015	21.30583376636527	2002.7597400041263	74.10790745894438	4.218744565901709	2019.84682920459	6.319641761618559	6.576735630700467	4.583461600492815	0.30731480867892885	0.19545968861371774	0.2409932055577158	0.2562322971496369	0.09367259300948898	1.5737861547902579	0.2678466123613361	0.7321533876386616	0.40176991854200417	2.196460162915985	0.007131831439246256	3.113479298929998	0.004453255436474955	0.20536514804533174	-0.03642035155573663	-3895.1966709243015	0.0	-80.91136626203578
120000	-3938.475546670505	-58.55232741719955	-3879.9232192533054	24.770510351627973	1999.2950634188637	88.8542980310089	4.844893634035734	2019.220680136456	5.499709466683833	6.950950703045919	7.491429007322671	0.30816795688143694	0.17796275885676	0.24077160834090922	0.27309767592089296	0.191412987534336	2.517896289801777	0.25094112804312824	0.7490588719568696	0.3764116920646924	2.247176615870609	0.007877274461859944	5.013687623318047	0.003707342832765652	0.2584893021646977	0.17005919857309573	-3879.9232192533054	0.0	-87.25757960129425
130000	-3934.0093961409675	-50.657009306373	-3883.3523868345947	20.281931925658668	2003.783641844833	68.05121153612339	3.900257952583688	2020.165315817908	5.377124659828463	9.448832878837187	7.485770989571078	0.2984113758533191	0.1833491046600086	0.24315437179365118	0.2750851476930202	0.24581305142953636	2.5580413258730985	0.25915006785655875	0.740849932143439	0.3887251017848381	2.222549796430317	0.021260857622488857	12.415559073640074	0.004879788968828401	0.3073625104588806	-0.003992657730707009	-3883.3523868345947	0.0	-76.422177807765
140000	-3940.9525710229805	-53.61129501040102	-3887.3412760125793	19.363924641582837	2004.701649128909	72.42753119095971	4.522057556515578	2019.543516213976	6.754214838641425	8.0954751827369	6.050545030417271	0.28563325160136244	0.19385802669462335	0.2562963758278778	0.2642123458761355	0.5174577586407857	1.6199231111888466	0.27904729443040177	0.7209527055695958	0.41857094164560266	2.1628581167087875	0.010570140439618082	5.657392547172998	0.0048221302665343345	0.27491817600587554	0.17003324776322457	-3887.3412760125793	0.0	-82.37228305329836
150000	-3950.2675628786037	-70.9050527844596	-3879.362510094144	30.65933738524293	1993.4062363852488	104.75356789003412	5.202403120544642	2018.863170649947	5.600600657402798	5.944163346406344	8.704143982953873	0.3051831891028382	0.18512287784174225	0.25277163877567066	0.25692229427974805	0.03778436949902072	2.456650913820261	0.26993304471792223	0.7300669552820752	0.40489956707688335	2.1902008658462258	0.007803129225179906	7.388754884265126	0.0030313120674155007	0.2958953229843791	0.008878293796121607	-3879.362510094144	0.0	-92.08838614892773
160000	-3950.170659879734	-71.36314753765916	-3878.807512342075	30.642460257765208	1993.4231135127266	111.09107874843586	5.022439529992009	2019.0431342404997	6.19015025546966	8.822555881118252	6.908449652167788	0.29094981530721264	0.19300316767199957	0.24660855858144873	0.26943845843933817	0.17457153162053105	1.877858984431101	0.27606164394839583	0.7239383560516016	0.41409246592259374	2.171815068154805	0.004217897373832976	2.806240113146837	0.002949110615646178	0.21029107444000775	0.1351117704187173	-3878.807512342075	0.0	-99.98333144438486
170000	-3950.8671924150126	-69.05921583854554	-3881.807976576467	29.22583983386371	1994.839733936628	99.30491800350366	4.087091075478202	2019.9784826950136	7.001808614266461	9.553622956149463	6.5525453157392946	0.2823797726945218	0.1939047700197652	0.2438279079874421	0.27988754929827	0.26137628023690684	2.088025773413594	0.2840366617715669	0.7159633382284301	0.42605499265735036	2.14789001468529	0.00718286446556293	5.623447943833849	0.0031988152137091812	0.2719845433565658	0.03756201796611512	-3881.807976576467	0.0	-89.98047351514676
180000	-3949.063293957277	-64.51910141063577	-3884.544192546641	31.246928388453675	1992.818645382038	99.6429844112991	4.814175862835467	2019.2513979076562	8.49286495518071	6.712392180279024	8.318332670971984	0.3046815486860978	0.1941138540117826	0.24440016511284057	0.2568044321892781	0.046817230376606275	1.5428323366177659	0.25972592387824495	0.7402740761217519	0.3895888858173674	2.2208222283652557	0.009634288917070747	7.226277563310505	0.0033011843298268195	0.28702134287248343	-0.08528182414778748	-3884.544192546641	0.0	-89.99039253349339
190000	-3938.7537489303663	-57.059098360236945	-3881.6946505701294	22.752551576963782	2001.313022193528	79.3300649999676	4.199565065371773	2019.8660087051198	3.821006484752832	9.564956948416306	7.050407678009108	0.3019304111770704	0.19621391218938755	0.2355721122231336	0.26628356441040735	0.2996496048024907	2.201989718292931	0.25700692620079674	0.7429930737992001	0.3855103893011951	2.2289792213976005	0.009316986904660972	7.057895636127489	0.003505288068601672	0.30000439121329076	-0.15506441046673955	-3881.6946505701294	0.0	-83.67205224515854
200000	-3953.3079951279346	-47.2349549013045	-3906.07304022663	20.906356349726906	2003.159217420765	69.92397617119138	3.894129460299156	2020.1714443101926	4.017955445255477	7.00904296226391	8.871462938281566	0.30141362792679693	0.21230259181062172	0.24822346641446089	0.23806031384811918	0.3826170960645388	2.745554061624208	0.2902158365313623	0.7097841634686349	0.43532375479704344	2.1293524904059047	0.008326523567979895	4.468103192868344	0.003996242427486774	0.23462068000819417	-0.001728850379152872	-3906.07304022663	0.0	-75.31682639262581
