key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,virus_subtype,prob_collection_regionname,prob_host_simplifiedhost,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample,median_galliformes-domestic,median_other-bird,median_anseriformes-wild,median_galliformes-wild,median_environment,median_mammal,median_charadriiformes-wild,median_human,median_anseriformes-domestic,max_galliformes-domestic,max_other-bird,max_anseriformes-wild,max_galliformes-wild,max_environment,max_mammal,max_charadriiformes-wild,max_human,max_anseriformes-domestic,sum_galliformes-domestic,sum_other-bird,sum_anseriformes-wild,sum_galliformes-wild,sum_environment,sum_mammal,sum_charadriiformes-wild,sum_human,sum_anseriformes-domestic
pb2_21616181019,21_6_16_1_8_10_1_9,pb2,5,532,6,0.004394722,6.74865e-4,0.02380259,2018.99067,0.113895724,2021.619178,2.628508149,24.55651499,112.2568082,eastern asia,anseriformes-wild,H5N6,1,0.520547945,0.99990001,124.3317,89.27691,250.5106,246.3545,NA,NA,#cc3362,minor,0,1.2464122611013977,NA,3.686193621661303,NA,NA,NA,NA,NA,NA,2.599300328058682,NA,3.686193621661303,NA,NA,NA,NA,NA,NA,7.584949372464209,NA,17.07808004134929,NA,NA,NA,NA,NA,NA
pb2_211616181019,21_16_16_1_8_10_1_9,pb2,1,533,5,0.003301824,2.88549e-4,0.029378954999999998,2020.332757,0.086780463,2021.2,0.867243145,23.75303233,112.7861608,eastern asia,anseriformes-wild,H5N6,1,0.561575799,1,NA,NA,NA,NA,NA,NA,#b199cc,minor,0,NA,NA,2.180122245866727,NA,NA,NA,NA,NA,NA,NA,NA,2.180122245866727,NA,NA,NA,NA,NA,NA,NA,NA,2.180122245866727,NA,NA,NA,NA,NA,NA
pb2_1111315115,11_1_13_1_5_1_1_5,pb2,4,542,4,0.004626194,9.56376e-4,0.016264747,2022.698069,0.033794162,2022.969863,0.271793965,34.38533534,131.5853946,eastern asia,galliformes-domestic,H5N1,1,0.894810519,1,1889.732,1527.188,100549,91698.88,NA,NA,#ccbe66,minor,0.08,1.3588660757015418,NA,NA,NA,0.19398096137078016,NA,NA,NA,NA,1.4764766605454014,NA,NA,NA,0.2705489722317793,NA,NA,NA,NA,5.397396774234743,NA,NA,NA,0.3879619227415602,NA,NA,NA,NA
pb2_117615116,11_7_6_1_5_1_1_6,pb2,29,546,38,0.00373577,3.48771e-4,0.020742533,2022.28575,0.042408581,2023.687671,1.401921691,27.53535538,126.6582635,eastern asia,anseriformes-wild,H5N1,0.99890011,0.522347765,1,3133.706,3210.541,595280,1333080,NA,NA,#c699cc,major,1.173,0.15814208400346175,0.5842451400962574,3.0617980442733668,NA,0.4096469560653091,0.5358575693578018,0.03469659417008586,NA,NA,0.34881554146434723,0.810221170634918,3.0655923309241473,NA,0.4096469560653091,0.5358575693578018,0.03469659417008586,NA,NA,1.1400520096726368,13.60199335483808,96.39326273673356,NA,0.4096469560653091,0.5358575693578018,0.03469659417008586,NA,NA
pb2_117615111,11_7_6_1_5_1_1_1,pb2,2,546,38,0.00373577,3.48771e-4,0.020742533,2022.28575,0.042408581,2023.178082,0.89233265,30.57565651,128.2915086,eastern asia,anseriformes-wild,H5N1,1,0.552995392,1,NA,NA,NA,NA,NA,NA,#8fcc66,minor,0.077,NA,0.25520193387555423,0.3678383857607983,NA,NA,NA,NA,NA,NA,NA,0.25520193387555423,0.3678383857607983,NA,NA,NA,NA,NA,NA,NA,0.25520193387555423,0.3678383857607983,NA,NA,NA,NA,NA,NA
pb2_1176151113,11_7_6_1_5_1_1_13,pb2,2,577,2,0.00218008,2.70751e-4,0.013222172,2023.618537,0.014347298,2023.687671,0.069134072,24.61501315,93.40597611,southern asia,anseriformes-wild,H5N1,0.99910009,0.99410059,1,4710.216,4710.216,387980.2,387980.2,NA,NA,#3bcc33,minor,0,NA,NA,0.8415033037387118,NA,NA,NA,NA,NA,NA,NA,NA,0.8415033037387118,NA,NA,NA,NA,NA,NA,NA,NA,1.6830066074774237,NA,NA,NA,NA,NA,NA
pb2_111615116,11_1_6_1_5_1_1_6,pb2,1,578,2,0.003373476,2.81614e-4,0.02703833,2022.819508,0.031103289,2022.989041,0.169533184,33.84167814,129.8136872,eastern asia,anseriformes-wild,H5N1,1,0.891089109,1,NA,NA,NA,NA,NA,NA,#a533cc,minor,0,NA,NA,0.4870829189081647,NA,NA,NA,NA,NA,NA,NA,NA,0.4870829189081647,NA,NA,NA,NA,NA,NA,NA,NA,0.4870829189081647,NA,NA,NA,NA,NA,NA
pb2_117615115,11_7_6_1_5_1_1_5,pb2,2,580,4,0.004263984,2.52941e-4,0.038731954,2022.688651,0.033764292,2022.841096,0.152444411,31.27835191,130.058561,eastern asia,other-bird,H5N1,1,0.532078964,1,NA,NA,NA,NA,NA,NA,#99cca7,minor,0.003,NA,0.10008481244392088,NA,NA,0.15101666452746443,NA,NA,NA,NA,NA,0.10008481244392088,NA,NA,0.15238652754115023,NA,NA,NA,NA,NA,0.20016962488784176,NA,NA,0.30203332905492886,NA,NA,NA,NA
pb2_1177151112,11_7_7_1_5_1_1_12,pb2,1,582,2,0.004479028,3.14827e-4,0.055049165,2022.821378,0.030790149,2022.846575,0.025197606,31.03939305,130.3172484,eastern asia,other-bird,H5N1,1,0.99950005,1,NA,NA,NA,NA,NA,NA,#cc669e,minor,0,NA,0.10109637427690644,NA,NA,NA,NA,NA,NA,NA,NA,0.10109637427690644,NA,NA,NA,NA,NA,NA,NA,NA,0.10109637427690644,NA,NA,NA,NA,NA,NA,NA
pb2_111615115,11_1_6_1_5_1_1_5,pb2,1,582,2,0.004479028,3.14827e-4,0.055049165,2022.821378,0.030790149,2022.843836,0.02245788,31.03939305,130.3172484,eastern asia,other-bird,H5N1,1,0.99950005,1,NA,NA,NA,NA,NA,NA,#8f66cc,minor,0,NA,0.09835664824955614,NA,NA,NA,NA,NA,NA,NA,NA,0.09835664824955614,NA,NA,NA,NA,NA,NA,NA,NA,0.09835664824955614,NA,NA,NA,NA,NA,NA,NA
