segment,cluster_profile,host_simplifiedhost,persistence_host_median,persistence_host_max,persistence_host_sum
ha,17_1_1_1_1_1_1_1,galliformes-domestic,0.9389387842556021,0.9945285108300226,20.228991865618895
ha,1_2_3_2_3_3_2_2,anseriformes-wild,1.1235460348776733,1.1235460348776733,10.006646913591535
ha,22_2_3_1_3_2_1_2,anseriformes-wild,2.25846339185966,2.25846339185966,10.70950228948676
ha,2_1_17_1_1_1_1_1,galliformes-domestic,1.0848208965522508,1.1034832333712208,18.453787557720734
ha,3_2_3_2_3_3_2_2,galliformes-domestic,1.7707516587823218,1.7713875815898596,47.14096318889577
ha,7_2_5_2_9_3_1_2,anseriformes-wild,0.06069779168192202,0.06069779168192202,0.12139558336384404
ha,7_2_5_2_9_3_1_2,galliformes-domestic,2.2971087855017647,2.2971087855017647,15.981001224145398
ha,11_1_13_1_5_1_1_5,galliformes-domestic,0.1951935719504838,0.1951935719504838,0.8551501075751511
ha,11_1_13_1_5_1_1_5,other-bird,0.18608546306090568,0.18608546306090568,0.618565499855557
ha,11_7_6_1_5_1_1_13,anseriformes-wild,0.5152876306864913,0.5152876306864913,1.0305752613729826
ha,11_7_6_1_5_1_1_6,anseriformes-wild,0.2200674657024102,0.9449315970791092,47.196030240687385
ha,11_7_6_1_5_1_1_6,anseriformes-wild+other-bird,0.06495472795814061,0.13720173652337575,6.753670972579169
ha,11_7_6_1_5_1_1_6,environment,0.18976865665583498,0.24654074209519505,1.498696852908925
ha,11_7_6_1_5_1_1_6,galliformes-domestic,0.22752013915168412,0.43309691323502175,7.42039113173219
ha,11_7_6_1_5_1_1_6,other-bird,0.31772211278270035,0.4664710406727508,16.196087010993132
ha,12_1_5_2_3_3_1_2,anseriformes-wild,0.08640386179994408,0.20411323737300924,5.799092537523029
ha,12_1_5_2_3_3_1_2,environment+anseriformes-wild,0.09008747028074016,0.09008747028074016,0.09008747028074016
ha,12_1_5_2_3_3_1_2,galliformes-domestic,0.15268714495887092,0.27970095474189627,5.066836905168468
ha,12_1_5_2_3_3_1_2,other-bird,0.18607556547585968,0.18607556547585968,0.18607556547585968
ha,16_8_10_1_8_6_1_8,anseriformes-wild,0.4258511719030422,0.5005653177181513,11.909599847044582
ha,16_8_10_1_8_6_1_8,galliformes-domestic,1.0109262718616767,1.0109262718616767,2.099906688190152
ha,17_1_6_1_5_2_1_10,anseriformes-wild,0.5694361337166556,0.7290254186851963,13.441078464618954
ha,18_1_2_1_1_18_1_1,other-bird,0.24954257819458903,0.24954257819458903,0.7984999864495874
ha,19_8_11_1_8_9_1_9,anseriformes-wild,0.21679529116829332,0.45775654089370343,3.5170565758069268
ha,19_8_11_1_8_9_1_9,environment,0.6724145423437666,0.6724145423437666,4.559459891303701
ha,19_8_11_1_8_9_1_9,galliformes-domestic,0.3164824396945538,0.3381261992448499,1.6921967362292563
ha,1_1_12_1_1_1_1_1,other-bird,0.49979205821608375,0.5813552784118796,9.761809082780998
ha,1_1_7_1_5_1_1_1,other-bird,0.18455624595856612,0.18455624595856612,0.790744653353757
ha,1_1_7_1_5_1_1_5,anseriformes-wild,0.08573961040647293,0.08573961040647293,0.17147922081294587
ha,1_1_7_1_5_1_1_5,anseriformes-wild+other-bird,0.10544853467500026,0.10544853467500026,0.21089706935000052
ha,1_1_7_1_5_1_1_5,other-bird,0.07179670359780443,0.11538382461532937,0.28718681439121774
ha,1_1_7_2_3_3_1_2,anseriformes-wild,0.15771475453848227,0.15771475453848227,0.7083831538584926
ha,1_1_7_2_3_3_1_2,galliformes-domestic,0.34735200181471315,0.34735200181471315,3.028808480607099
ha,1_1_7_2_3_3_1_5,anseriformes-wild,0.34361944144317125,0.34545763627249126,11.221634004087893
ha,1_1_7_2_3_3_1_5,galliformes-domestic,0.039969809809112355,0.07615719753222017,0.3303346339399291
ha,1_6_6_1_5_1_1_5,anseriformes-wild,0.11909448572130721,0.11909448572130721,0.8090265938515735
ha,1_6_6_1_5_1_1_5,environment,0.05271276974310268,0.05271276974310268,0.10542553948620537
ha,1_6_6_1_5_1_1_5,other-bird,0.23616620922490927,0.23616620922490927,0.23616620922490927
ha,20_1_7_1_5_1_1_1,anseriformes-wild,0.299083357926488,0.299083357926488,0.299083357926488
ha,20_7_6_1_3_1_1_1,anseriformes-wild,0.21323804961175696,0.21323804961175696,0.21323804961175696
ha,20_7_7_1_9_7_1_1,anseriformes-wild,0.15762708388000934,0.15762708388000934,0.739653635633502
ha,20_7_7_1_9_7_1_1,other-bird,0.92051904552294594,0.92051904552294594,3.6820761820917838
ha,21_16_16_1_8_10_1_9,anseriformes-wild,0.12150465407142574,0.12150465407142574,0.12150465407142574
ha,21_6_16_1_8_10_1_9,galliformes-domestic,0.18931347899845008,0.2037086608514187,2.4652157680202
ha,23_13_23_2_15_21_3_14,other-bird,0.6421565010987855,0.6421565010987855,1.284313002197571
ha,26_18_24_1_17_10_1_16,galliformes-domestic,0.15676458870986876,0.15676458870986876,0.15676458870986876
ha,2_1_1_1_6_1_1_1,anseriformes-wild,0.16568048468614194,0.4402015732289519,3.3767216852660593
ha,2_1_1_1_6_1_1_1,galliformes-domestic,0.16555191078261267,0.16555191078261267,2.1796224658291754
ha,2_1_6_1_5_1_1_1,anseriformes-wild,0.3544437663275404,0.4046890299370256,2.835550130620323
ha,2_6_1_1_1_1_1_1,anseriformes-wild,0.5797011151107903,0.5797011151107903,1.5614725352171366
ha,2_6_1_1_6_1_1_12,anseriformes-wild,0.07381810353579965,0.07381810353579965,0.07381810353579965
