data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,host_simplifiedhost,collection_regionname,prob_host_simplifiedhost,prob_collection_regionname,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
np_54912111,5_4_9_1_2_1_1_1,45,46,45,NA,NA,NA,2022.091405,1.136615304,2023.320548,1.229142731,41.87338973,-87.29696906,anseriformes-wild,northern america,0.510276636,0.990778802,6575.387,4454.402,827283.8,840525.5,20,2
np_71521312,7_1_5_2_1_3_1_2,72,73,72,NA,NA,NA,2019.856823,1.024019108,2020.937158,1.080335519,50.47358116,19.1785025,galliformes-domestic,eastern europe,0.888679036,0.993889568,14652.07,7854.796,1968885,3550930,17,NA
ns_11111111,1_1_1_1_1_1_1_1,60,61,60,NA,NA,NA,2020.447344,1.019244947,2024.120219,3.672874456,18.35684327,35.7192658,anseriformes-wild,southern africa,0.79102322,0.354405066,2963.726,3106.767,786381.5,2464364,23,1
ns_11111111A,1_1_1_1_1_1_1_1,24,25,24,NA,NA,NA,2021.189183,1.060458227,2023.109589,1.920405595,34.38050301,112.4438208,anseriformes-wild,eastern asia,0.894122875,0.979557827,3526.531,2700.433,513813.8,622135.9,11,1
ns_11211111,1_1_2_1_1_1_1_1,521,522,521,NA,NA,NA,2020.958139,1.018669988,2024.153005,3.194866815,51.45567664,9.544418037,anseriformes-wild,western europe,0.642261971,0.77024775,3415.401,2467.853,303128.3,339008,300,30
ns_11414114,1_1_4_1_4_1_1_4,233,234,233,NA,NA,NA,2018.541364,1.057727715,2023.791781,5.250416584,50.42494295,4.531787952,charadriiformes-wild,western europe,0.277191423,0.344517276,3997.238,2056.97,392457.3,314909,70,13
ns_16211111,1_6_2_1_1_1_1_1,26,27,26,NA,NA,NA,2022.545961,1.896187542,2024.106557,1.560596475,51.4237716,11.50903074,other-bird,western europe,0.38651261,0.510165537,2951.403,2699.997,652866.7,570305.5,18,NA
ns_21211111,2_1_2_1_1_1_1_1,15,16,15,NA,NA,NA,2021.404978,1.041404669,2024.202186,2.797207573,NA,NA,anseriformes-wild,western europe,0.951672036,0.964115098,NA,NA,NA,NA,7,NA
ns_21611411,2_1_6_1_1_4_1_1,29,30,29,NA,NA,NA,2020.139434,1.027581443,2024.204918,4.065484262,44.74987152,33.12625175,anseriformes-wild,eastern europe,0.516942562,0.842461949,6584.434,4997.363,3811403,4241780,16,NA
ns_26116111,2_6_1_1_6_1_1_1,40,41,40,NA,NA,NA,2021.377894,1.029133672,2022.915068,1.537174289,36.40030315,122.7193327,anseriformes-wild,eastern asia,0.979335629,0.996444839,9725.646,8701.781,7505333,8674184,10,NA
ns_32313212,3_2_3_1_3_2_1_2,485,486,485,NA,NA,NA,2019.514822,1.033330763,2022.161644,2.646821691,48.5578474,54.87676909,galliformes-domestic,central asia,0.467725808,0.856682591,3101.541,6612.497,2577058,2566295,212,3
ns_43112113,4_3_1_1_2_1_1_3,308,309,308,NA,NA,NA,2021.469432,1.029435856,2023.767123,2.29769133,46.43939631,-98.59297271,galliformes-domestic,northern america,0.829018998,0.999333407,-9536.354,6507.995,1525370,2503917,150,28
ns_51112113,5_1_1_1_2_1_1_3,35,36,35,NA,NA,NA,2021.797153,1.07600608,2023.29863,1.501477281,41.48162463,-98.3218562,anseriformes-wild,northern america,0.478835685,0.990445506,11827.82,6890.519,2984075,1910423,22,NA
ns_54912111,5_4_9_1_2_1_1_1,48,49,48,NA,NA,NA,2022.20105,1.090625744,2023.317808,1.116757806,41.60786258,-88.31864154,anseriformes-wild,northern america,0.481168759,0.993445173,7717.116,5297.106,1136543,1111458,23,2
ns_71521312,7_1_5_2_1_3_1_2,67,68,67,NA,NA,NA,2019.787978,1.01859967,2020.95082,1.162841622,50.74365781,19.37311923,galliformes-domestic,eastern europe,0.698255749,0.990445506,12328.3,6202.286,1327438,2554320,26,NA
