data_name,Rcode,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,cluster_number,collection_regionname,host_simplifiedhost,collection_countryname,virus_subtype,prob_cluster_number,prob_collection_regionname,prob_host_simplifiedhost,prob_collection_countryname,prob_virus_subtype,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal
np_asia,1_1_7_1_5_1_1_1,3,958,3,0.004182979,0.000119001,0.072144057,2022.84765,0.064296977,2023.175342,0.327692096,34.03217322,129.7789475,profile0005,eastern asia,other-bird,japan,H5N1,1,1,0.972585925,0.877864157,1,1426.089,1215.049,59772.63,64272.88,NA,NA
np_asia,20_1_7_1_5_1_1_1,1,960,2,0.003496654,9.14e-05,0.108872667,2022.786692,0.067168199,2022.89863,0.111937684,35.11828071,128.8312329,profile0005,eastern asia,anseriformes-wild,japan,H5N1,1,1,0.950207469,0.524896266,1,NA,NA,NA,NA,NA,NA
np_asia,1_1_1_1_5_1_1_5,1,960,2,0.003496654,9.14e-05,0.108872667,2022.786692,0.067168199,2022.835616,0.048923985,34.04717121,129.8877725,profile0005,eastern asia,anseriformes-wild,japan,H5N1,1,1,0.85480427,0.937366548,1,NA,NA,NA,NA,NA,NA
np_asia,9_1_7_1_5_1_1_5,6,961,13,0.005142262,0.000172369,0.061764968,2022.538395,0.078086297,2023.084932,0.546536055,33.43193404,131.5400104,profile0005,eastern asia,other-bird,japan,H5N1,1,1,0.602817665,0.992143051,1,3056.621,3265.129,148417.8,206275.9,NA,NA
np_asia,9_1_1_1_5_1_1_5,1,966,2,0.004238304,0.000171744,0.110282096,2022.835416,0.06420849,2022.854795,0.019378458,31.33283758,130.4555984,profile0005,eastern asia,other-bird,japan,H5N1,1,1,0.7909699,1,1,NA,NA,NA,NA,NA,NA
np_asia,1_1_7_1_5_1_1_5,8,955,27,0.005692384,0.000977746,0.031497275,2022.260041,0.090648884,2023.071233,0.811191969,34.278945,130.9909401,profile0005,eastern asia,anseriformes-wild,japan,H5N1,1,1,0.584241576,0.95190481,1,2238.908,1815.357,128956.8,134825.2,NA,NA
np_asia,9_1_7_1_5_1_1_1,3,974,3,0.004701803,0.000126918,0.061642249,2022.71951,0.070109146,2022.956164,0.236654604,35.12998986,129.8998278,profile0005,eastern asia,anseriformes-wild,japan,H5N1,1,1,0.839447158,0.859607191,1,1138.322,1180.909,42106.69,59459.82,NA,NA
np_asia,11_1_13_1_5_1_1_5,4,978,4,0.006718082,0.000287648,0.07521818,2022.717953,0.069873014,2022.969863,0.251910044,34.48872121,131.7892757,profile0005,eastern asia,galliformes-domestic,japan,H5N1,1,1,0.918708129,0.99880012,1,2484.146,1946.319,152686.6,119078.4,NA,NA
np_asia,20_1_2_1_5_1_1_6,1,981,5,0.009059397,0.000733126,0.060144148,2021.666578,0.117953281,2023.013699,1.347120348,35.2950519,128.2545529,profile0005,eastern asia,anseriformes-wild,south korea,H5N1,0.99940006,1,0.800819918,0.907809219,0.99990001,NA,NA,NA,NA,NA,NA
np_asia,2_1_6_1_5_1_1_1,4,982,4,0.007061598,0.000155797,0.08235389,2021.810417,0.111266587,2022.093151,0.282733702,35.22094747,127.4443558,profile0005,eastern asia,anseriformes-wild,south korea,H5N1,1,1,0.857857062,0.995909556,1,275.4172,277.0291,2239.726,3144.673,NA,NA
np_asia,11_9_6_2_5_18_1_2,1,952,34,0.004036894,0.000142063,0.065007839,2020.44461,0.174843481,2020.857923,0.413313525,36.12286213,122.2112389,profileNA,eastern asia,anseriformes-wild,japan,H5N1,1,1,1,0.803986711,0.790697674,NA,NA,NA,NA,NA,NA
np_asia,17_1_6_1_5_2_1_10,8,986,8,0.007141846,0.001141269,0.030261307,2021.386038,0.13057912,2021.873973,0.487934933,12.94519438,105.0279698,profile0005,south-eastern asia,anseriformes-wild,cambodia,H5N8,0.99810019,1,0.99840016,0.99910009,0.99970003,1147.121,612.8678,20994.53,11141.28,NA,NA
np_asia,11_9_2_1_13_1_1_1,1,993,7,0.00131617,0.000110248,0.026417155,2021.096561,0.152692417,2023.90411,2.807548501,33.08342556,122.6895668,profile0009,eastern asia,anseriformes-wild,south korea,H5N1,0.601975887,0.99916276,0.562793034,0.654554588,0.78332217,NA,NA,NA,NA,NA,NA
np_asia,20_7_7_1_9_7_1_1,4,995,4,0.007380148,0.001523413,0.029450224,2023.738312,0.024204244,2023.972603,0.234290439,35.46123203,128.4749248,profile0009,eastern asia,anseriformes-wild,south korea,H5N6,1,1,0.903509649,0.96640336,0.99970003,1008.225,1049.539,36986.17,40384.93,NA,NA
np_asia,3_1_3_1_9_2_1_2,1,998,2,0.008808449,0.000210926,0.106156942,2021.883531,0.108531108,2022.060274,0.176742911,35.28371596,127.9409348,profile0009,eastern asia,anseriformes-wild,south korea,H5N8,1,1,0.836655323,0.994652406,0.523902123,NA,NA,NA,NA,NA,NA
np_asia,1_7_1_1_9_1_1_1,1,998,2,0.008808449,0.000210926,0.106156942,2021.883531,0.108531108,2022.871233,0.987701815,35.28371596,127.9409348,profile0009,eastern asia,anseriformes-wild,south korea,H5N8,1,1,0.836655323,0.994652406,0.523902123,NA,NA,NA,NA,NA,NA
np_asia,4_3_1_1_2_1_1_3,4,999,6,0.018869274,0.000585687,0.129511689,2022.072903,0.099504328,2022.79726,0.724357221,51.88351113,-105.0424353,profile0002,northern america,anseriformes-wild,united states,H5N1,0.96750325,0.97830217,0.95680432,0.98340166,1,6665.166,6046.281,544173.3,472496,5,NA
np_northamerica,15_10_19_1_7_1_1_3,4,498,4,0.002628931,0.00088159,0.00628932,2022.376861,0.141418241,2022.227397,0.149463771,42.95821656,-75.74115683,profile0007,northern america,galliformes-wild,united states,H5N1,1,1,0.946339296,1,1,407.7799,329.9685,929.8706,870.7445,NA,NA
