key,cluster_profile,segment,Ntips_with_Rcode,AncNode,NCladetips,evoRate,evoRate_95lower,evoRate_95upper,TMRCA,relative.depth,youngestTip.time,persist.time,Lat_MRCA,Lon_MRCA,collection_regionname,host_simplifiedhost,prob_collection_regionname,prob_host_simplifiedhost,mean_branch_velocity,weighted_branch_velocity,original_diff_coeff,weighted_diff_coeff,count_cross_species,count_to_mammal,col2,group2,Length_Between_First_Last_Sample
mp_5491229_11,5_4_9_1_2_29_1_1,mp,1,912,2,0.003346432,3.85312e-4,0.015035438,2023.280876,0.484066127,2023.347945,0.067069322,43.01424624,-85.59278595,northern america,other-bird,1,0.859475219,NA,NA,NA,NA,NA,NA,#DFC130,minor,0
mp_53112113,5_3_1_1_2_1_1_3,mp,1,907,25,0.004860025,7.73934e-4,0.027648038,2022.641502,0.737244694,2022.786301,0.144799324,41.51895549,-91.91407665,northern america,galliformes-domestic,1,0.844444444,NA,NA,NA,NA,NA,NA,#DFC233,minor,0
mp_64812111,6_4_8_1_2_1_1_1,mp,1,85,69,0.005518161,1.46091e-4,0.093984813,2022.197911,0.900807595,2022.235616,0.037705878,39.39455131,-84.16229116,northern america,galliformes-domestic,0.999865265,0.659391,NA,NA,NA,NA,NA,NA,#66bccc,major,1.027
nx_17_1111111,17_1_1_1_1_1_1_1,nx,7,102,7,0.005101892,9.48532e-4,0.026451835,2022.671158,0.408035288,2023.120548,0.44939021,14.14053571,6.763159212,western africa,galliformes-domestic,1,0.991112099,1466.88,1234.713,68142.05,72199.74,NA,NA,#ccad33,minor,0.17
nx_2117_11111,2_1_17_1_1_1_1_1,nx,6,145,7,0.00614106,7.13124e-4,0.04265565,2021.474768,0.722068987,2022.20274,0.727971687,11.81050144,-1.847860375,western africa,galliformes-domestic,1,0.982335296,355.7199,219.1543,2370.476,1915.93,NA,NA,#33cc89,minor,0.271
nx_3131314_12,3_1_3_1_3_14_1_2,nx,3,240,3,0.005009948,0.001446676,0.017375387,2021.704816,0.249148359,2022.167123,0.462307175,30.30355902,115.3782982,eastern asia,anseriformes-wild,1,0.637484724,1466.621,1087.582,84660.37,66102.69,NA,NA,#99ccc7,minor,0.263
nx_20_913_15111,20_9_13_1_5_1_1_1,nx,1,278,2,0.004719817,7.26525e-4,0.028524733,2022.802279,0.142329638,2022.884932,0.082652768,34.08774268,129.8358047,eastern asia,other-bird,1,0.96790371100000006,NA,NA,NA,NA,NA,NA,#4633cc,minor,0
nx_9913_15115,9_9_13_1_5_1_1_5,nx,1,278,2,0.004719817,7.26525e-4,0.028524733,2022.802279,0.142329638,2022.90137,0.099091124,34.08774268,129.8358047,eastern asia,other-bird,1,0.96790371100000006,NA,NA,NA,NA,NA,NA,#E2B712,minor,0
nx_11_113_15115,11_1_13_1_5_1_1_5,nx,4,276,43,0.00417092,8.03733e-4,0.019624762,2022.314298,0.187429541,2022.969863,0.655565334,33.00264674,127.4470334,eastern asia,other-bird,1,0.993341554,NA,NA,NA,NA,NA,NA,#ccbe66,minor,0.08
nx_91715115,9_1_7_1_5_1_1_5,nx,7,280,39,0.004111376,0.002543932,0.006525981,2022.342209,0.183048669,2023.084932,0.742722535,33.00264674,127.4470334,eastern asia,other-bird,1,0.993341554,1140.983,1056.451,34882,32297.68,NA,NA,#99a0cc,minor,0.252
