,cluster_profile,profile_lab,clade,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Conti,number_hostType,group,colour
61,1_1_47_1_12_1_1_1,NA,2.3.4.4b,2,"domestic-Galliformes, domestic-Anseriformes",domestic-ave,"domestic-Galliformes - Europe, domestic-Anseriformes - Europe",Europe,domestic-Galliformes,Europe,0,1,1,minor,#cc9e99
62,1_1_4_1_3_1_1_3,H5N1/2022/R12_Europe,2.3.4.4b,396,"wild-Charadriiformes, domestic-Galliformes, wild-Mammal, wild-Falconiformes, wild-Accipitriformes, wild-Passeriformes, domestic-Charadriiformes, wild-Anseriformes, domestic-Anseriformes, wild-Pelecaniformes","wild-ave, domestic-ave, mammal","wild-Charadriiformes - Europe, domestic-Galliformes - Europe, wild-Mammal - Europe, wild-Falconiformes - Europe, wild-Accipitriformes - Europe, wild-Passeriformes - Europe, domestic-Charadriiformes - Europe, wild-Anseriformes - Europe, domestic-Anseriformes - Europe, wild-Pelecaniformes - Europe",Europe,wild-Charadriiformes,Europe,1.08500000000004,1,3,major,#cc9366
63,1_1_4_1_3_1_1_56,NA,2.3.4.4b,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - Europe,Europe,wild-Charadriiformes,Europe,0,1,1,minor,#ccad33
64,1_1_66_38_12_14_15_1,NA,EA_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Europe,Europe,wild-Anseriformes,Europe,0,1,1,minor,#dcdcdc
65,1_1_74_44_1_73_1_43,NA,EA_nonGsGD,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#dcdcdc
66,1_1_81_1_7_83_1_2,NA,2.3.4.4b,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - Europe,Europe,wild-Charadriiformes,Europe,0,1,1,minor,#c4cc99
67,1_1_82_1_1_1_1_1,NA,2.3.4.4b,1,wild-Charadriiformes,wild-ave,wild-Charadriiformes - Europe,Europe,wild-Charadriiformes,Europe,0,1,1,minor,#99cc66
68,1_1_88_53_12_14_15_1,NA,EA_nonGsGD,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#dcdcdc
69,1_1_94_1_3_1_1_3,NA,2.3.4.4b,1,wild-Mammal,mammal,wild-Mammal - Europe,Europe,wild-Mammal,Europe,0,1,1,minor,#4bcc33
70,1_2_2_1_30_7_1_2,NA,2.3.4.4b,1,wild-Falconiformes,wild-ave,wild-Falconiformes - Europe,Europe,wild-Falconiformes,Europe,0,1,1,minor,#99cca2
71,1_35_65_13_35_64_25_20,NA,Am_nonGsGD,1,wild-Anseriformes,wild-ave,wild-Anseriformes - North America,North America,wild-Anseriformes,North America,0,1,1,minor,#d3d3d3
72,1_54_2_1_1_1_1_1,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Europe,Europe,domestic-Galliformes,Europe,0,1,1,minor,#ffe4b5
73,1_7_11_48_4_6_2_5,NA,2.3.4.4h,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#f0ffff
74,1_7_11_4_4_6_2_5,H5N6/2020/R4_Asia,2.3.4.4h,31,"domestic-Anseriformes, domestic-Galliformes",domestic-ave,"domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,1.05799999999999,1,1,major,#f0ffff
75,20_13_27_1_11_24_1_9,H5N6/2021/R2_Asia,2.3.4.4b,6,"wild-Mammal, NA-environment, domestic-Anseriformes, domestic-Galliformes","mammal, other, domestic-ave","wild-Mammal - Asia, NA-environment - Asia, domestic-Anseriformes - Asia, domestic-Galliformes - Asia",Asia,domestic-Anseriformes,Asia,0.0539999999998599,1,3,major,#66cc9c
76,20_13_49_1_11_38_1_9,NA,2.3.4.4b,2,NA-environment,other,NA-environment - Asia,Asia,NA-environment,Asia,0,1,1,minor,#33ccb9
77,20_13_50_1_11_10_1_9,NA,2.3.4.4b,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#99c0cc
78,20_13_50_60_11_12_1_62,NA,2.3.4.4b,1,domestic-Galliformes,domestic-ave,domestic-Galliformes - Asia,Asia,domestic-Galliformes,Asia,0,1,1,minor,#6691cc
79,20_13_68_1_11_38_1_9,NA,2.3.4.4b,1,wild-Mammal,mammal,wild-Mammal - Asia,Asia,wild-Mammal,Asia,0,1,1,minor,#333fcc
80,21_8_21_11_4_18_2_5,H5N6/2020/R2_Asia,2.3.4.4h,7,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0.0080000000000382,1,1,major,#f0ffff
81,21_8_21_11_4_44_24_5,NA,2.3.4.4h,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#f0ffff
82,21_8_54_11_4_44_2_5,NA,2.3.4.4h,1,domestic-Anseriformes,domestic-ave,domestic-Anseriformes - Asia,Asia,domestic-Anseriformes,Asia,0,1,1,minor,#f0ffff
83,22_1_12_1_6_1_1_18,H5N1/2022/R16_Asia,2.3.4.4b,8,"wild-Anseriformes, domestic-Galliformes, wild-Passeriformes, wild-unknown avian","wild-ave, domestic-ave","wild-Anseriformes - Asia, domestic-Galliformes - Asia, wild-Passeriformes - Asia, wild-unknown avian - Asia",Asia,wild-Anseriformes,Asia,0.366999999999962,1,2,major,#a699cc
84,22_38_22_2_6_66_1_2,NA,2.3.4.4b,1,wild-Anseriformes,wild-ave,wild-Anseriformes - Asia,Asia,wild-Anseriformes,Asia,0,1,1,minor,#a466cc
