"continent","start_point","random","end_point","diversity"
"Africa",2023.3,1,2024.3,1
"Europe",2023.3,1,2024.3,4.48587499043817
"North America",2023.3,1,2024.3,5.14019959175847
"Asia",2023.4,1,2024.4,3.78734145651377
"Africa",2023.4,1,2024.4,1
"Europe",2023.4,1,2024.4,5.33339314995347
"North America",2023.4,1,2024.4,4.78416081696824
"Asia",2023.5,1,2024.5,3.53822670951743
"Africa",2023.5,1,2024.5,1
"Europe",2023.5,1,2024.5,5.98131293542179
"North America",2023.5,1,2024.5,4.78416081696824
"Asia",2020,2,2021,5.13197744990446
"Africa",2020,2,2021,1.75476535060332
"Europe",2020,2,2021,2.09287214163989
"North America",2020,2,2021,NA
"Asia",2020.1,2,2021.1,5.02054512795519
"Africa",2020.1,2,2021.1,2.36308337479987
"Europe",2020.1,2,2021.1,1.93614772758945
"North America",2020.1,2,2021.1,NA
"Asia",2020.2,2,2021.2,5.43987805822305
"Africa",2020.2,2,2021.2,2.3084243035018
"Europe",2020.2,2,2021.2,2.22940467607939
"North America",2020.2,2,2021.2,NA
"Asia",2020.3,2,2021.3,5.43987805822305
"Africa",2020.3,2,2021.3,1.90311411625558
"Europe",2020.3,2,2021.3,2.30157540609305
"North America",2020.3,2,2021.3,NA
"Asia",2020.4,2,2021.4,5.46818566752791
"Africa",2020.4,2,2021.4,1.64117316870686
"Europe",2020.4,2,2021.4,2.21669334279941
"North America",2020.4,2,2021.4,NA
"Asia",2020.5,2,2021.5,5.46818566752791
"Africa",2020.5,2,2021.5,1.60552633067449
"Europe",2020.5,2,2021.5,2.07369515840631
"North America",2020.5,2,2021.5,NA
"Asia",2020.6,2,2021.6,5.52513834237557
"Africa",2020.6,2,2021.6,2.0965335942306
"Europe",2020.6,2,2021.6,2.15287132937474
"North America",2020.6,2,2021.6,NA
"Asia",2020.7,2,2021.7,5.52513834237557
"Africa",2020.7,2,2021.7,2.10796368364371
"Europe",2020.7,2,2021.7,2.02733812232429
"North America",2020.7,2,2021.7,NA
"Asia",2020.8,2,2021.8,6.0095369854506
"Africa",2020.8,2,2021.8,2.02968059320947
"Europe",2020.8,2,2021.8,2.48772227644378
"North America",2020.8,2,2021.8,NA
"Asia",2020.9,2,2021.9,7.09412524619717
"Africa",2020.9,2,2021.9,2.03156961323313
"Europe",2020.9,2,2021.9,4.66196078688034
"North America",2020.9,2,2021.9,NA
"Asia",2021,2,2022,7.17874759027076
"Africa",2021,2,2022,2.27793768261882
"Europe",2021,2,2022,3.74369732052057
"North America",2021,2,2022,1
"Asia",2021.1,2,2022.1,8.68996101093198
"Africa",2021.1,2,2022.1,2.00998075167169
"Europe",2021.1,2,2022.1,3.9834915434383
"North America",2021.1,2,2022.1,1
"Asia",2021.2,2,2022.2,6.62666221120624
"Africa",2021.2,2,2022.2,1.73906743731415
"Europe",2021.2,2,2022.2,3.58246936880529
"North America",2021.2,2,2022.2,2.61188282998794
"Asia",2021.3,2,2022.3,6.87495204906715
"Africa",2021.3,2,2022.3,1.9836806292124
"Europe",2021.3,2,2022.3,3.31880915141053
"North America",2021.3,2,2022.3,4.70958193277254
"Asia",2021.4,2,2022.4,5.88181972003401
"Africa",2021.4,2,2022.4,2.11640964240324
"Europe",2021.4,2,2022.4,3.03582029053892
"North America",2021.4,2,2022.4,5.38834272965604
"Asia",2021.5,2,2022.5,6.45369017038008
"Africa",2021.5,2,2022.5,2.23829221563439
"Europe",2021.5,2,2022.5,3.4139735704013
"North America",2021.5,2,2022.5,5.35342877903779
"Asia",2021.6,2,2022.6,6.87110564119416
"Africa",2021.6,2,2022.6,1.95244659869209
"Europe",2021.6,2,2022.6,3.25494928248181
"North America",2021.6,2,2022.6,5.3715495921394
"Asia",2021.7,2,2022.7,6.87110564119415
"Africa",2021.7,2,2022.7,1.89155055710898
"Europe",2021.7,2,2022.7,3.31061372174848
"North America",2021.7,2,2022.7,5.43098427110949
"Asia",2021.8,2,2022.8,6.89987031582925
"Africa",2021.8,2,2022.8,1.96965984577962
"Europe",2021.8,2,2022.8,3.26694247804083
"North America",2021.8,2,2022.8,5.72412469076842
"Asia",2021.9,2,2022.9,8.00794291943114
"Africa",2021.9,2,2022.9,1.97482790487548
"Europe",2021.9,2,2022.9,3.19501698583914
"North America",2021.9,2,2022.9,6.15246309684029
"Asia",2022,2,2023,5.99643820938573
"Africa",2022,2,2023,2.18891708815217
