collection_regionname,collection_year,collection_month,collection_season,collection_quarter,collection_datemonth,woah_cases,woah_susceptibles,woah_deaths,n_sequences,n_reassortants,minor,dominant,major,joint_reassortant_class,previous_reassortant_class,collection_dec,time_since_last_dominant
africa,2024,3,migrating_spring,1,2024-03-01,5042,14993,2420,1,NA,NA,NA,NA,NA,NA,2024.1639344262296,3.9153005464481794
africa,2024,4,migrating_spring,2,2024-04-01,5042,14993,2420,NA,NA,NA,NA,NA,NA,NA,2024.2486338797814,4
africa,2024,5,migrating_spring,2,2024-05-01,5042,14993,2420,NA,NA,NA,NA,NA,NA,NA,2024.3306010928961,4.0819672131146945
africa,2024,6,breeding,2,2024-06-01,5042,14993,2420,NA,NA,NA,NA,NA,NA,NA,2024.4153005464482,4.1666666666667425
south america,2024,1,overwintering,1,2024-01-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024,NA
south america,2024,2,overwintering,1,2024-02-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024.0846994535518,NA
south america,2024,3,migrating_spring,1,2024-03-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024.1639344262296,NA
south america,2024,4,migrating_spring,2,2024-04-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024.2486338797814,NA
south america,2024,5,migrating_spring,2,2024-05-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024.3306010928961,NA
south america,2024,6,breeding,2,2024-06-01,5393,29418,5163,NA,NA,NA,NA,NA,NA,NA,2024.4153005464482,NA
central & northern america,2024,1,overwintering,1,2024-01-01,1081988,16037070,1080964,15,NA,NA,NA,NA,NA,NA,2024,1.915068493150784
central & northern america,2024,2,overwintering,1,2024-02-01,1081988,16037070,1080964,3,NA,NA,NA,NA,NA,NA,2024.0846994535518,1.9997679467026046
central & northern america,2024,3,migrating_spring,1,2024-03-01,1081988,16037070,1080964,19,NA,NA,NA,NA,NA,NA,2024.1639344262296,2.0790029193804003
central & northern america,2024,4,migrating_spring,2,2024-04-01,1081988,16037070,1080964,NA,NA,NA,NA,NA,NA,NA,2024.2486338797814,2.163702372932221
central & northern america,2024,5,migrating_spring,2,2024-05-01,1081988,16037070,1080964,NA,NA,NA,NA,NA,NA,NA,2024.3306010928961,2.2456695860469154
central & northern america,2024,6,breeding,2,2024-06-01,1081988,16037070,1080964,NA,NA,NA,NA,NA,NA,NA,2024.4153005464482,2.3303690395989634
asia,2024,1,overwintering,1,2024-01-01,257217,2254996,227620,12,NA,NA,NA,NA,NA,NA,2024,2.915068493150784
asia,2024,2,overwintering,1,2024-02-01,257217,2254996,227620,21,NA,NA,NA,NA,NA,NA,2024.0846994535518,2.9997679467026046
asia,2024,3,migrating_spring,1,2024-03-01,257217,2254996,227620,9,NA,NA,NA,NA,NA,NA,2024.1639344262296,3.0790029193804003
asia,2024,4,migrating_spring,2,2024-04-01,257217,2254996,227620,NA,NA,NA,NA,NA,NA,NA,2024.2486338797814,3.163702372932221
asia,2024,5,migrating_spring,2,2024-05-01,257217,2254996,227620,NA,NA,NA,NA,NA,NA,NA,2024.3306010928961,3.2456695860469154
asia,2024,6,breeding,2,2024-06-01,257217,2254996,227620,NA,NA,NA,NA,NA,NA,NA,2024.4153005464482,3.3303690395989634
europe,2024,1,overwintering,1,2024-01-01,858358,2791057,225517,128,1,1,NA,NA,minor,minor,2024,2.084931506849216
europe,2024,2,overwintering,1,2024-02-01,858358,2791057,225517,136,NA,NA,NA,NA,NA,NA,2024.0846994535518,2.1696309604010366
europe,2024,3,migrating_spring,1,2024-03-01,858358,2791057,225517,6,NA,NA,NA,NA,NA,NA,2024.1639344262296,2.2488659330788323
europe,2024,4,migrating_spring,2,2024-04-01,858358,2791057,225517,NA,NA,NA,NA,NA,NA,NA,2024.2486338797814,2.333565386630653
europe,2024,5,migrating_spring,2,2024-05-01,858358,2791057,225517,NA,NA,NA,NA,NA,NA,NA,2024.3306010928961,2.4155325997453474
europe,2024,6,breeding,2,2024-06-01,858358,2791057,225517,NA,NA,NA,NA,NA,NA,NA,2024.4153005464482,2.5002320532973954
africa,2024,7,breeding,3,2024-07-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,4.248633879781437
africa,2024,8,breeding,3,2024-08-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,4.3333333333332575
africa,2024,9,migrating_autumn,3,2024-09-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,4.4180327868853055
africa,2024,10,migrating_autumn,4,2024-10-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,4.5
africa,2024,11,migrating_autumn,4,2024-11-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,4.584699453551821
africa,2024,12,overwintering,4,2024-12-01,2051,7352,1999,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,4.6666666666667425
NA,2024,7,breeding,3,2024-07-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,NA
NA,2024,8,breeding,3,2024-08-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,NA
NA,2024,9,migrating_autumn,3,2024-09-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,NA
NA,2024,10,migrating_autumn,4,2024-10-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,NA
NA,2024,11,migrating_autumn,4,2024-11-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,NA
NA,2024,12,overwintering,4,2024-12-01,3,0,3,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,NA
central & northern america,2024,7,breeding,3,2024-07-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,2.412336252713658
central & northern america,2024,8,breeding,3,2024-08-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,2.4970357062654784
central & northern america,2024,9,migrating_autumn,3,2024-09-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,2.5817351598175264
central & northern america,2024,10,migrating_autumn,4,2024-10-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,2.663702372932221
central & northern america,2024,11,migrating_autumn,4,2024-11-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,2.7484018264840415
central & northern america,2024,12,overwintering,4,2024-12-01,281025,36318204,280703,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,2.8303690395989634
south america,2024,7,breeding,3,2024-07-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,NA
south america,2024,8,breeding,3,2024-08-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,NA
south america,2024,9,migrating_autumn,3,2024-09-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,NA
south america,2024,10,migrating_autumn,4,2024-10-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,NA
south america,2024,11,migrating_autumn,4,2024-11-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,NA
south america,2024,12,overwintering,4,2024-12-01,3091,2963,3048,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,NA
asia,2024,7,breeding,3,2024-07-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,3.412336252713658
asia,2024,8,breeding,3,2024-08-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,3.4970357062654784
asia,2024,9,migrating_autumn,3,2024-09-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,3.5817351598175264
asia,2024,10,migrating_autumn,4,2024-10-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,3.663702372932221
asia,2024,11,migrating_autumn,4,2024-11-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,3.7484018264840415
asia,2024,12,overwintering,4,2024-12-01,127079,15145716,117505,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,3.8303690395989634
europe,2024,7,breeding,3,2024-07-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.4972677595629,2.58219926641209
europe,2024,8,breeding,3,2024-08-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.5819672131147,2.6668987199639105
europe,2024,9,migrating_autumn,3,2024-09-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.6666666666667,2.7515981735159585
europe,2024,10,migrating_autumn,4,2024-10-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.7486338797814,2.833565386630653
europe,2024,11,migrating_autumn,4,2024-11-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.8333333333333,2.9182648401824736
europe,2024,12,overwintering,4,2024-12-01,4742389,10024061,908137,NA,NA,NA,NA,NA,NA,NA,2024.9153005464482,3.0002320532973954
