primary_com_name,sci_name,order,family,class
common ostrich,struthio camelus,struthioniformes,struthionidae,Aves
somali ostrich,struthio molybdophanes,struthioniformes,struthionidae,Aves
common/somali ostrich,struthio camelus/molybdophanes,struthioniformes,struthionidae,Aves
greater rhea,rhea americana,rheiformes,rheidae,Aves
lesser rhea,rhea pennata,rheiformes,rheidae,Aves
tawny-breasted tinamou,nothocercus julius,tinamiformes,tinamidae,Aves
highland tinamou,nothocercus bonapartei,tinamiformes,tinamidae,Aves
hooded tinamou,nothocercus nigrocapillus,tinamiformes,tinamidae,Aves
grey tinamou,tinamus tao,tinamiformes,tinamidae,Aves
solitary tinamou,tinamus solitarius,tinamiformes,tinamidae,Aves
black tinamou,tinamus osgoodi,tinamiformes,tinamidae,Aves
great tinamou,tinamus major,tinamiformes,tinamidae,Aves
white-throated tinamou,tinamus guttatus,tinamiformes,tinamidae,Aves
tinamus sp.,tinamus sp.,tinamiformes,tinamidae,Aves
cinereous tinamou,crypturellus cinereus,tinamiformes,tinamidae,Aves
berlepsch's tinamou,crypturellus berlepschi,tinamiformes,tinamidae,Aves
little tinamou,crypturellus soui,tinamiformes,tinamidae,Aves
tepui tinamou,crypturellus ptaritepui,tinamiformes,tinamidae,Aves
brown tinamou,crypturellus obsoletus,tinamiformes,tinamidae,Aves
undulated tinamou,crypturellus undulatus,tinamiformes,tinamidae,Aves
pale-browed tinamou,crypturellus transfasciatus,tinamiformes,tinamidae,Aves
brazilian tinamou,crypturellus strigulosus,tinamiformes,tinamidae,Aves
grey-legged tinamou,crypturellus duidae,tinamiformes,tinamidae,Aves
red-legged tinamou,crypturellus erythropus,tinamiformes,tinamidae,Aves
yellow-legged tinamou,crypturellus noctivagus,tinamiformes,tinamidae,Aves
black-capped tinamou,crypturellus atrocapillus,tinamiformes,tinamidae,Aves
slaty-breasted tinamou,crypturellus boucardi,tinamiformes,tinamidae,Aves
choco tinamou,crypturellus kerriae,tinamiformes,tinamidae,Aves
variegated tinamou,crypturellus variegatus,tinamiformes,tinamidae,Aves
thicket tinamou,crypturellus cinnamomeus,tinamiformes,tinamidae,Aves
rusty tinamou,crypturellus brevirostris,tinamiformes,tinamidae,Aves
bartlett's tinamou,crypturellus bartletti,tinamiformes,tinamidae,Aves
small-billed tinamou,crypturellus parvirostris,tinamiformes,tinamidae,Aves
barred tinamou,crypturellus casiquiare,tinamiformes,tinamidae,Aves
tataupa tinamou,crypturellus tataupa,tinamiformes,tinamidae,Aves
crypturellus sp.,crypturellus sp.,tinamiformes,tinamidae,Aves
red-winged tinamou,rhynchotus rufescens,tinamiformes,tinamidae,Aves
huayco tinamou,rhynchotus maculicollis,tinamiformes,tinamidae,Aves
taczanowski's tinamou,nothoprocta taczanowskii,tinamiformes,tinamidae,Aves
ornate tinamou,nothoprocta ornata,tinamiformes,tinamidae,Aves
chilean tinamou,nothoprocta perdicaria,tinamiformes,tinamidae,Aves
brushland tinamou,nothoprocta cinerascens,tinamiformes,tinamidae,Aves
andean tinamou,nothoprocta pentlandii,tinamiformes,tinamidae,Aves
curve-billed tinamou,nothoprocta curvirostris,tinamiformes,tinamidae,Aves
nothoprocta sp.,nothoprocta sp.,tinamiformes,tinamidae,Aves
white-bellied nothura,nothura boraquira,tinamiformes,tinamidae,Aves
lesser nothura,nothura minor,tinamiformes,tinamidae,Aves
darwin's nothura,nothura darwinii,tinamiformes,tinamidae,Aves
spotted nothura,nothura maculosa,tinamiformes,tinamidae,Aves
white-bellied/spotted nothura,nothura boraquira/maculosa,tinamiformes,tinamidae,Aves
lesser/spotted nothura,nothura minor/maculosa,tinamiformes,tinamidae,Aves
dwarf tinamou,taoniscus nanus,tinamiformes,tinamidae,Aves
elegant crested-tinamou,eudromia elegans,tinamiformes,tinamidae,Aves
quebracho crested-tinamou,eudromia formosa,tinamiformes,tinamidae,Aves
puna tinamou,tinamotis pentlandii,tinamiformes,tinamidae,Aves
patagonian tinamou,tinamotis ingoufi,tinamiformes,tinamidae,Aves
tinamou sp.,tinamidae sp.,tinamiformes,tinamidae,Aves
southern cassowary,casuarius casuarius,casuariiformes,casuariidae,Aves
dwarf cassowary,casuarius bennetti,casuariiformes,casuariidae,Aves
northern cassowary,casuarius unappendiculatus,casuariiformes,casuariidae,Aves
emu,dromaius novaehollandiae,casuariiformes,casuariidae,Aves
southern brown kiwi,apteryx australis,apterygiformes,apterygidae,Aves
okarito brown kiwi,apteryx rowi,apterygiformes,apterygidae,Aves
north island brown kiwi,apteryx mantelli,apterygiformes,apterygidae,Aves
little spotted kiwi,apteryx owenii,apterygiformes,apterygidae,Aves
great spotted kiwi,apteryx haastii,apterygiformes,apterygidae,Aves
kiwi sp.,apteryx sp.,apterygiformes,apterygidae,Aves
horned screamer,anhima cornuta,anseriformes,anhimidae,Aves
southern screamer,chauna torquata,anseriformes,anhimidae,Aves
northern screamer,chauna chavaria,anseriformes,anhimidae,Aves
magpie goose,anseranas semipalmata,anseriformes,anseranatidae,Aves
spotted whistling-duck,dendrocygna guttata,anseriformes,anatidae,Aves
plumed whistling-duck,dendrocygna eytoni,anseriformes,anatidae,Aves
white-faced whistling-duck,dendrocygna viduata,anseriformes,anatidae,Aves
black-bellied whistling-duck,dendrocygna autumnalis,anseriformes,anatidae,Aves
west indian whistling-duck,dendrocygna arborea,anseriformes,anatidae,Aves
fulvous whistling-duck,dendrocygna bicolor,anseriformes,anatidae,Aves
wandering whistling-duck,dendrocygna arcuata,anseriformes,anatidae,Aves
plumed/wandering whistling-duck,dendrocygna eytoni/arcuata,anseriformes,anatidae,Aves
lesser whistling-duck,dendrocygna javanica,anseriformes,anatidae,Aves
fulvous/lesser whistling-duck,dendrocygna bicolor/javanica,anseriformes,anatidae,Aves
whistling-duck sp.,dendrocygna sp.,anseriformes,anatidae,Aves
white-backed duck,thalassornis leuconotus,anseriformes,anatidae,Aves
bar-headed goose,anser indicus,anseriformes,anatidae,Aves
emperor goose,anser canagicus,anseriformes,anatidae,Aves
snow goose,anser caerulescens,anseriformes,anatidae,Aves
ross's goose,anser rossii,anseriformes,anatidae,Aves
snow/ross's goose,anser caerulescens/rossii,anseriformes,anatidae,Aves
greylag goose,anser anser,anseriformes,anatidae,Aves
greylag goose (domestic type),anser anser (domestic type),anseriformes,anatidae,Aves
swan goose,anser cygnoides,anseriformes,anatidae,Aves
swan goose (domestic type),anser cygnoides (domestic type),anseriformes,anatidae,Aves
greater white-fronted goose,anser albifrons,anseriformes,anatidae,Aves
lesser white-fronted goose,anser erythropus,anseriformes,anatidae,Aves
greater/lesser white-fronted goose,anser albifrons/erythropus,anseriformes,anatidae,Aves
taiga bean-goose,anser fabalis,anseriformes,anatidae,Aves
tundra bean-goose,anser serrirostris,anseriformes,anatidae,Aves
taiga/tundra bean-goose,anser fabalis/serrirostris,anseriformes,anatidae,Aves
pink-footed goose,anser brachyrhynchus,anseriformes,anatidae,Aves
domestic goose sp. (domestic type),anser sp. (domestic type),anseriformes,anatidae,Aves
anser sp.,anser sp.,anseriformes,anatidae,Aves
brant,branta bernicla,anseriformes,anatidae,Aves
barnacle goose,branta leucopsis,anseriformes,anatidae,Aves
cackling goose,branta hutchinsii,anseriformes,anatidae,Aves
canada goose,branta canadensis,anseriformes,anatidae,Aves
cackling/canada goose,branta hutchinsii/canadensis,anseriformes,anatidae,Aves
hawaiian goose,branta sandvicensis,anseriformes,anatidae,Aves
red-breasted goose,branta ruficollis,anseriformes,anatidae,Aves
branta sp.,branta sp.,anseriformes,anatidae,Aves
cape barren goose,cereopsis novaehollandiae,anseriformes,anatidae,Aves
freckled duck,stictonetta naevosa,anseriformes,anatidae,Aves
blue-winged goose,cyanochen cyanoptera,anseriformes,anatidae,Aves
mute swan,cygnus olor,anseriformes,anatidae,Aves
black swan,cygnus atratus,anseriformes,anatidae,Aves
black-necked swan,cygnus melancoryphus,anseriformes,anatidae,Aves
trumpeter swan,cygnus buccinator,anseriformes,anatidae,Aves
tundra swan,cygnus columbianus,anseriformes,anatidae,Aves
trumpeter/tundra swan,cygnus buccinator/columbianus,anseriformes,anatidae,Aves
whooper swan,cygnus cygnus,anseriformes,anatidae,Aves
tundra/whooper swan,cygnus columbianus/cygnus,anseriformes,anatidae,Aves
swan sp.,cygnus sp.,anseriformes,anatidae,Aves
coscoroba swan,coscoroba coscoroba,anseriformes,anatidae,Aves
knob-billed duck,sarkidiornis melanotos,anseriformes,anatidae,Aves
comb duck,sarkidiornis sylvicola,anseriformes,anatidae,Aves
hartlaub's duck,pteronetta hartlaubii,anseriformes,anatidae,Aves
orinoco goose,oressochen jubatus,anseriformes,anatidae,Aves
andean goose,oressochen melanopterus,anseriformes,anatidae,Aves
upland goose,chloephaga picta,anseriformes,anatidae,Aves
kelp goose,chloephaga hybrida,anseriformes,anatidae,Aves
ashy-headed goose,chloephaga poliocephala,anseriformes,anatidae,Aves
ruddy-headed goose,chloephaga rubidiceps,anseriformes,anatidae,Aves
chloephaga sp.,chloephaga sp.,anseriformes,anatidae,Aves
goose sp.,anatidae (goose sp.),anseriformes,anatidae,Aves
radjah shelduck,radjah radjah,anseriformes,anatidae,Aves
egyptian goose,alopochen aegyptiaca,anseriformes,anatidae,Aves
mauritius shelduck,alopochen mauritiana,anseriformes,anatidae,Aves
reunion shelduck,alopochen kervazoi,anseriformes,anatidae,Aves
ruddy shelduck,tadorna ferruginea,anseriformes,anatidae,Aves
south african shelduck,tadorna cana,anseriformes,anatidae,Aves
australian shelduck,tadorna tadornoides,anseriformes,anatidae,Aves
paradise shelduck,tadorna variegata,anseriformes,anatidae,Aves
common shelduck,tadorna tadorna,anseriformes,anatidae,Aves
crested shelduck,tadorna cristata,anseriformes,anatidae,Aves
spur-winged goose,plectropterus gambensis,anseriformes,anatidae,Aves
flying steamer-duck,tachyeres patachonicus,anseriformes,anatidae,Aves
flightless steamer-duck,tachyeres pteneres,anseriformes,anatidae,Aves
falkland steamer-duck,tachyeres brachypterus,anseriformes,anatidae,Aves
white-headed steamer-duck,tachyeres leucocephalus,anseriformes,anatidae,Aves
steamer-duck sp.,tachyeres sp.,anseriformes,anatidae,Aves
crested duck,lophonetta specularioides,anseriformes,anatidae,Aves
spectacled duck,speculanas specularis,anseriformes,anatidae,Aves
muscovy duck,cairina moschata,anseriformes,anatidae,Aves
muscovy duck (domestic type),cairina moschata (domestic type),anseriformes,anatidae,Aves
green pygmy-goose,nettapus pulchellus,anseriformes,anatidae,Aves
cotton pygmy-goose,nettapus coromandelianus,anseriformes,anatidae,Aves
green/cotton pygmy-goose,nettapus pulchellus/coromandelianus,anseriformes,anatidae,Aves
african pygmy-goose,nettapus auritus,anseriformes,anatidae,Aves
ringed teal,callonetta leucophrys,anseriformes,anatidae,Aves
wood duck,aix sponsa,anseriformes,anatidae,Aves
mandarin duck,aix galericulata,anseriformes,anatidae,Aves
maned duck,chenonetta jubata,anseriformes,anatidae,Aves
finsch's duck,chenonetta finschi,anseriformes,anatidae,Aves
brazilian teal,amazonetta brasiliensis,anseriformes,anatidae,Aves
blue duck,hymenolaimus malacorhynchos,anseriformes,anatidae,Aves
torrent duck,merganetta armata,anseriformes,anatidae,Aves
salvadori's teal,salvadorina waigiuensis,anseriformes,anatidae,Aves
baikal teal,sibirionetta formosa,anseriformes,anatidae,Aves
garganey,spatula querquedula,anseriformes,anatidae,Aves
blue-billed teal,spatula hottentota,anseriformes,anatidae,Aves
silver teal,spatula versicolor,anseriformes,anatidae,Aves
puna teal,spatula puna,anseriformes,anatidae,Aves
blue-winged teal,spatula discors,anseriformes,anatidae,Aves
cinnamon teal,spatula cyanoptera,anseriformes,anatidae,Aves
blue-winged/cinnamon teal,spatula discors/cyanoptera,anseriformes,anatidae,Aves
red shoveler,spatula platalea,anseriformes,anatidae,Aves
cape shoveler,spatula smithii,anseriformes,anatidae,Aves
australasian shoveler,spatula rhynchotis,anseriformes,anatidae,Aves
northern shoveler,spatula clypeata,anseriformes,anatidae,Aves
gadwall,mareca strepera,anseriformes,anatidae,Aves
falcated duck,mareca falcata,anseriformes,anatidae,Aves
eurasian wigeon,mareca penelope,anseriformes,anatidae,Aves
american wigeon,mareca americana,anseriformes,anatidae,Aves
eurasian/american wigeon,mareca penelope/americana,anseriformes,anatidae,Aves
chiloe wigeon,mareca sibilatrix,anseriformes,anatidae,Aves
amsterdam duck,mareca marecula,anseriformes,anatidae,Aves
african black duck,anas sparsa,anseriformes,anatidae,Aves
yellow-billed duck,anas undulata,anseriformes,anatidae,Aves
meller's duck,anas melleri,anseriformes,anatidae,Aves
pacific black duck,anas superciliosa,anseriformes,anatidae,Aves
laysan duck,anas laysanensis,anseriformes,anatidae,Aves
hawaiian duck,anas wyvilliana,anseriformes,anatidae,Aves
philippine duck,anas luzonica,anseriformes,anatidae,Aves
indian spot-billed duck,anas poecilorhyncha,anseriformes,anatidae,Aves
eastern spot-billed duck,anas zonorhyncha,anseriformes,anatidae,Aves
indian/eastern spot-billed duck,anas poecilorhyncha/zonorhyncha,anseriformes,anatidae,Aves
mallard,anas platyrhynchos,anseriformes,anatidae,Aves
mallard (domestic type),anas platyrhynchos (domestic type),anseriformes,anatidae,Aves
mallard/pacific black duck,anas platyrhynchos/superciliosa,anseriformes,anatidae,Aves
mallard/hawaiian duck,anas platyrhynchos/wyvilliana,anseriformes,anatidae,Aves
mallard/indian spot-billed duck,anas platyrhynchos/poecilorhyncha,anseriformes,anatidae,Aves
mallard/eastern spot-billed duck,anas platyrhynchos/zonorhyncha,anseriformes,anatidae,Aves
mexican duck,anas diazi,anseriformes,anatidae,Aves
mallard/mexican duck,anas platyrhynchos/diazi,anseriformes,anatidae,Aves
american black duck,anas rubripes,anseriformes,anatidae,Aves
mallard/american black duck,anas platyrhynchos/rubripes,anseriformes,anatidae,Aves
mottled duck,anas fulvigula,anseriformes,anatidae,Aves
mallard/mottled duck,anas platyrhynchos/fulvigula,anseriformes,anatidae,Aves
mexican/mottled duck,anas diazi/fulvigula,anseriformes,anatidae,Aves
american black/mottled duck,anas rubripes/fulvigula,anseriformes,anatidae,Aves
cape teal,anas capensis,anseriformes,anatidae,Aves
white-cheeked pintail,anas bahamensis,anseriformes,anatidae,Aves
red-billed duck,anas erythrorhyncha,anseriformes,anatidae,Aves
northern pintail,anas acuta,anseriformes,anatidae,Aves
eaton's pintail,anas eatoni,anseriformes,anatidae,Aves
yellow-billed pintail,anas georgica,anseriformes,anatidae,Aves
green-winged teal,anas crecca,anseriformes,anatidae,Aves
garganey/green-winged teal,spatula querquedula/anas crecca,anseriformes,anatidae,Aves
andean teal,anas andium,anseriformes,anatidae,Aves
yellow-billed teal,anas flavirostris,anseriformes,anatidae,Aves
yellow-billed pintail/yellow-billed teal,anas georgica/flavirostris,anseriformes,anatidae,Aves
andean/yellow-billed teal,anas andium/flavirostris,anseriformes,anatidae,Aves
mauritius duck,anas theodori,anseriformes,anatidae,Aves
andaman teal,anas albogularis,anseriformes,anatidae,Aves
sunda teal,anas gibberifrons,anseriformes,anatidae,Aves
grey teal,anas gracilis,anseriformes,anatidae,Aves
chestnut teal,anas castanea,anseriformes,anatidae,Aves
grey/chestnut teal,anas gracilis/castanea,anseriformes,anatidae,Aves
bernier's teal,anas bernieri,anseriformes,anatidae,Aves
auckland islands teal,anas aucklandica,anseriformes,anatidae,Aves
campbell islands teal,anas nesiotis,anseriformes,anatidae,Aves
brown teal,anas chlorotis,anseriformes,anatidae,Aves
anas sp.,anas sp.,anseriformes,anatidae,Aves
teal sp.,anatidae sp. (teal sp.),anseriformes,anatidae,Aves
dabbling duck sp.,anatidae sp. (dabbling duck sp.),anseriformes,anatidae,Aves
pink-eared duck,malacorhynchus membranaceus,anseriformes,anatidae,Aves
marbled duck,marmaronetta angustirostris,anseriformes,anatidae,Aves
pink-headed duck,rhodonessa caryophyllacea,anseriformes,anatidae,Aves
white-winged duck,asarcornis scutulata,anseriformes,anatidae,Aves
red-crested pochard,netta rufina,anseriformes,anatidae,Aves
southern pochard,netta erythrophthalma,anseriformes,anatidae,Aves
rosy-billed pochard,netta peposaca,anseriformes,anatidae,Aves
canvasback,aythya valisineria,anseriformes,anatidae,Aves
redhead,aythya americana,anseriformes,anatidae,Aves
common pochard,aythya ferina,anseriformes,anatidae,Aves
ring-necked duck,aythya collaris,anseriformes,anatidae,Aves
ferruginous duck,aythya nyroca,anseriformes,anatidae,Aves
madagascar pochard,aythya innotata,anseriformes,anatidae,Aves
baer's pochard,aythya baeri,anseriformes,anatidae,Aves
ferruginous duck/baer's pochard,aythya nyroca/baeri,anseriformes,anatidae,Aves
hardhead,aythya australis,anseriformes,anatidae,Aves
tufted duck,aythya fuligula,anseriformes,anatidae,Aves
new zealand scaup,aythya novaeseelandiae,anseriformes,anatidae,Aves
greater scaup,aythya marila,anseriformes,anatidae,Aves
lesser scaup,aythya affinis,anseriformes,anatidae,Aves
greater/lesser scaup,aythya marila/affinis,anseriformes,anatidae,Aves
aythya sp.,aythya sp.,anseriformes,anatidae,Aves
steller's eider,polysticta stelleri,anseriformes,anatidae,Aves
labrador duck,camptorhynchus labradorius,anseriformes,anatidae,Aves
spectacled eider,somateria fischeri,anseriformes,anatidae,Aves
king eider,somateria spectabilis,anseriformes,anatidae,Aves
common eider,somateria mollissima,anseriformes,anatidae,Aves
king/common eider,somateria spectabilis/mollissima,anseriformes,anatidae,Aves
eider sp.,somateria sp.,anseriformes,anatidae,Aves
harlequin duck,histrionicus histrionicus,anseriformes,anatidae,Aves
surf scoter,melanitta perspicillata,anseriformes,anatidae,Aves
velvet scoter,melanitta fusca,anseriformes,anatidae,Aves
white-winged scoter,melanitta deglandi,anseriformes,anatidae,Aves
stejneger's scoter,melanitta stejnegeri,anseriformes,anatidae,Aves
velvet/white-winged/stejneger's scoter,melanitta fusca/deglandi/stejnegeri,anseriformes,anatidae,Aves
white-winged/stejneger's scoter,melanitta deglandi/stejnegeri,anseriformes,anatidae,Aves
common scoter,melanitta nigra,anseriformes,anatidae,Aves
black scoter,melanitta americana,anseriformes,anatidae,Aves
surf/black scoter,melanitta perspicillata/americana,anseriformes,anatidae,Aves
common/black scoter,melanitta nigra/americana,anseriformes,anatidae,Aves
scoter sp.,melanitta sp.,anseriformes,anatidae,Aves
long-tailed duck,clangula hyemalis,anseriformes,anatidae,Aves
bufflehead,bucephala albeola,anseriformes,anatidae,Aves
common goldeneye,bucephala clangula,anseriformes,anatidae,Aves
barrow's goldeneye,bucephala islandica,anseriformes,anatidae,Aves
common/barrow's goldeneye,bucephala clangula/islandica,anseriformes,anatidae,Aves
smew,mergellus albellus,anseriformes,anatidae,Aves
hooded merganser,lophodytes cucullatus,anseriformes,anatidae,Aves
auckland islands merganser,mergus australis,anseriformes,anatidae,Aves
common merganser,mergus merganser,anseriformes,anatidae,Aves
brazilian merganser,mergus octosetaceus,anseriformes,anatidae,Aves
red-breasted merganser,mergus serrator,anseriformes,anatidae,Aves
common/red-breasted merganser,mergus merganser/serrator,anseriformes,anatidae,Aves
scaly-sided merganser,mergus squamatus,anseriformes,anatidae,Aves
merganser sp.,mergellus/lophodytes/mergus sp.,anseriformes,anatidae,Aves
black-headed duck,heteronetta atricapilla,anseriformes,anatidae,Aves
masked duck,nomonyx dominicus,anseriformes,anatidae,Aves
ruddy duck,oxyura jamaicensis,anseriformes,anatidae,Aves
masked/ruddy duck,nomonyx dominicus/oxyura jamaicensis,anseriformes,anatidae,Aves
andean duck,oxyura ferruginea,anseriformes,anatidae,Aves
white-headed duck,oxyura leucocephala,anseriformes,anatidae,Aves
maccoa duck,oxyura maccoa,anseriformes,anatidae,Aves
lake duck,oxyura vittata,anseriformes,anatidae,Aves
andean/lake duck,oxyura ferruginea/vittata,anseriformes,anatidae,Aves
blue-billed duck,oxyura australis,anseriformes,anatidae,Aves
musk duck,biziura lobata,anseriformes,anatidae,Aves
duck sp.,anatidae (duck sp.),anseriformes,anatidae,Aves
waterfowl sp.,anatidae sp.,anseriformes,anatidae,Aves
australian brushturkey,alectura lathami,galliformes,megapodiidae,Aves
wattled brushturkey,aepypodius arfakianus,galliformes,megapodiidae,Aves
waigeo brushturkey,aepypodius bruijnii,galliformes,megapodiidae,Aves
red-billed brushturkey,talegalla cuvieri,galliformes,megapodiidae,Aves
yellow-legged brushturkey,talegalla fuscirostris,galliformes,megapodiidae,Aves
red-legged brushturkey,talegalla jobiensis,galliformes,megapodiidae,Aves
talegalla sp.,talegalla sp.,galliformes,megapodiidae,Aves
malleefowl,leipoa ocellata,galliformes,megapodiidae,Aves
maleo,macrocephalon maleo,galliformes,megapodiidae,Aves
moluccan megapode,eulipoa wallacei,galliformes,megapodiidae,Aves
tongan megapode,megapodius pritchardii,galliformes,megapodiidae,Aves
micronesian megapode,megapodius laperouse,galliformes,megapodiidae,Aves
nicobar megapode,megapodius nicobariensis,galliformes,megapodiidae,Aves
philippine megapode,megapodius cumingii,galliformes,megapodiidae,Aves
sula megapode,megapodius bernsteinii,galliformes,megapodiidae,Aves
tanimbar megapode,megapodius tenimberensis,galliformes,megapodiidae,Aves
dusky megapode,megapodius freycinet,galliformes,megapodiidae,Aves
biak megapode,megapodius geelvinkianus,galliformes,megapodiidae,Aves
melanesian megapode,megapodius eremita,galliformes,megapodiidae,Aves
vanuatu megapode,megapodius layardi,galliformes,megapodiidae,Aves
new guinea megapode,megapodius decollatus,galliformes,megapodiidae,Aves
orange-footed megapode,megapodius reinwardt,galliformes,megapodiidae,Aves
plain chachalaca,ortalis vetula,galliformes,cracidae,Aves
grey-headed chachalaca,ortalis cinereiceps,galliformes,cracidae,Aves
chestnut-winged chachalaca,ortalis garrula,galliformes,cracidae,Aves
rufous-vented chachalaca,ortalis ruficauda,galliformes,cracidae,Aves
rufous-headed chachalaca,ortalis erythroptera,galliformes,cracidae,Aves
rufous-bellied chachalaca,ortalis wagleri,galliformes,cracidae,Aves
west mexican chachalaca,ortalis poliocephala,galliformes,cracidae,Aves
chaco chachalaca,ortalis canicollis,galliformes,cracidae,Aves
white-bellied chachalaca,ortalis leucogastra,galliformes,cracidae,Aves
colombian chachalaca,ortalis columbiana,galliformes,cracidae,Aves
speckled chachalaca,ortalis guttata,galliformes,cracidae,Aves
east brazilian chachalaca,ortalis araucuan,galliformes,cracidae,Aves
scaled chachalaca,ortalis squamata,galliformes,cracidae,Aves
variable chachalaca,ortalis motmot,galliformes,cracidae,Aves
chestnut-headed chachalaca,ortalis ruficeps,galliformes,cracidae,Aves
buff-browed chachalaca,ortalis superciliaris,galliformes,cracidae,Aves
chachalaca sp.,ortalis sp.,galliformes,cracidae,Aves
band-tailed guan,penelope argyrotis,galliformes,cracidae,Aves
bearded guan,penelope barbata,galliformes,cracidae,Aves
baudo guan,penelope ortoni,galliformes,cracidae,Aves
andean guan,penelope montagnii,galliformes,cracidae,Aves
marail guan,penelope marail,galliformes,cracidae,Aves
rusty-margined guan,penelope superciliaris,galliformes,cracidae,Aves
red-faced guan,penelope dabbenei,galliformes,cracidae,Aves
spix's guan,penelope jacquacu,galliformes,cracidae,Aves
marail/spix's guan,penelope marail/jacquacu,galliformes,cracidae,Aves
crested guan,penelope purpurascens,galliformes,cracidae,Aves
cauca guan,penelope perspicax,galliformes,cracidae,Aves
white-winged guan,penelope albipennis,galliformes,cracidae,Aves
dusky-legged guan,penelope obscura,galliformes,cracidae,Aves
rusty-margined/dusky-legged guan,penelope superciliaris/obscura,galliformes,cracidae,Aves
yungas guan,penelope bridgesi,galliformes,cracidae,Aves
white-crested guan,penelope pileata,galliformes,cracidae,Aves
chestnut-bellied guan,penelope ochrogaster,galliformes,cracidae,Aves
white-browed guan,penelope jacucaca,galliformes,cracidae,Aves
penelope sp.,penelope sp.,galliformes,cracidae,Aves
trinidad piping-guan,pipile pipile,galliformes,cracidae,Aves
blue-throated piping-guan,pipile cumanensis,galliformes,cracidae,Aves
white-throated piping-guan,pipile grayi,galliformes,cracidae,Aves
blue-throated/white-throated piping-guan,pipile cumanensis/grayi,galliformes,cracidae,Aves
red-throated piping-guan,pipile cujubi,galliformes,cracidae,Aves
white-throated/red-throated piping-guan,pipile grayi/cujubi,galliformes,cracidae,Aves
black-fronted piping-guan,pipile jacutinga,galliformes,cracidae,Aves
wattled guan,aburria aburri,galliformes,cracidae,Aves
black guan,chamaepetes unicolor,galliformes,cracidae,Aves
sickle-winged guan,chamaepetes goudotii,galliformes,cracidae,Aves
highland guan,penelopina nigra,galliformes,cracidae,Aves
horned guan,oreophasis derbianus,galliformes,cracidae,Aves
nocturnal curassow,nothocrax urumutum,galliformes,cracidae,Aves
crestless curassow,mitu tomentosum,galliformes,cracidae,Aves
salvin's curassow,mitu salvini,galliformes,cracidae,Aves
razor-billed curassow,mitu tuberosum,galliformes,cracidae,Aves
alagoas curassow,mitu mitu,galliformes,cracidae,Aves
helmeted curassow,pauxi pauxi,galliformes,cracidae,Aves
sira curassow,pauxi koepckeae,galliformes,cracidae,Aves
horned curassow,pauxi unicornis,galliformes,cracidae,Aves
great curassow,crax rubra,galliformes,cracidae,Aves
blue-billed curassow,crax alberti,galliformes,cracidae,Aves
yellow-knobbed curassow,crax daubentoni,galliformes,cracidae,Aves
black curassow,crax alector,galliformes,cracidae,Aves
wattled curassow,crax globulosa,galliformes,cracidae,Aves
bare-faced curassow,crax fasciolata,galliformes,cracidae,Aves
red-billed curassow,crax blumenbachii,galliformes,cracidae,Aves
curassow sp.,cracidae sp. (curassow sp.),galliformes,cracidae,Aves
cracidae sp.,cracidae sp.,galliformes,cracidae,Aves
helmeted guineafowl,numida meleagris,galliformes,numididae,Aves
helmeted guineafowl (domestic type),numida meleagris (domestic type),galliformes,numididae,Aves
white-breasted guineafowl,agelastes meleagrides,galliformes,numididae,Aves
black guineafowl,agelastes niger,galliformes,numididae,Aves
vulturine guineafowl,acryllium vulturinum,galliformes,numididae,Aves
plumed guineafowl,guttera plumifera,galliformes,numididae,Aves
eastern crested guineafowl,guttera pucherani,galliformes,numididae,Aves
western crested guineafowl,guttera verreauxi,galliformes,numididae,Aves
southern crested guineafowl,guttera edouardi,galliformes,numididae,Aves
crested guineafowl sp.,guttera pucherani/verreauxi/edouardi,galliformes,numididae,Aves
stone partridge,ptilopachus petrosus,galliformes,odontophoridae,Aves
nahan's partridge,ptilopachus nahani,galliformes,odontophoridae,Aves
tawny-faced quail,rhynchortyx cinctus,galliformes,odontophoridae,Aves
mountain quail,oreortyx pictus,galliformes,odontophoridae,Aves
buffy-crowned wood-partridge,dendrortyx leucophrys,galliformes,odontophoridae,Aves
long-tailed wood-partridge,dendrortyx macroura,galliformes,odontophoridae,Aves
bearded wood-partridge,dendrortyx barbatus,galliformes,odontophoridae,Aves
banded quail,philortyx fasciatus,galliformes,odontophoridae,Aves
northern bobwhite,colinus virginianus,galliformes,odontophoridae,Aves
black-throated bobwhite,colinus nigrogularis,galliformes,odontophoridae,Aves
crested bobwhite,colinus cristatus,galliformes,odontophoridae,Aves
scaled quail,callipepla squamata,galliformes,odontophoridae,Aves
elegant quail,callipepla douglasii,galliformes,odontophoridae,Aves
california quail,callipepla californica,galliformes,odontophoridae,Aves
gambel's quail,callipepla gambelii,galliformes,odontophoridae,Aves
california/gambel's quail,callipepla californica/gambelii,galliformes,odontophoridae,Aves
montezuma quail,cyrtonyx montezumae,galliformes,odontophoridae,Aves
ocellated quail,cyrtonyx ocellatus,galliformes,odontophoridae,Aves
singing quail,dactylortyx thoracicus,galliformes,odontophoridae,Aves
marbled wood-quail,odontophorus gujanensis,galliformes,odontophoridae,Aves
spot-winged wood-quail,odontophorus capueira,galliformes,odontophoridae,Aves
black-eared wood-quail,odontophorus melanotis,galliformes,odontophoridae,Aves
black-fronted wood-quail,odontophorus atrifrons,galliformes,odontophoridae,Aves
rufous-fronted wood-quail,odontophorus erythrops,galliformes,odontophoridae,Aves
