sci_name,class,order,family,primary_com_name
pongo abelii,mammalia,primates,hominidae,sumatran orangutan
mus baoulei,mammalia,rodentia,muridae,baoule's mouse
dipodillus dasyurus,mammalia,rodentia,muridae,wagner's dipodil
reithrodontomys gracilis,mammalia,rodentia,cricetidae,slender harvest mouse
rhogeessa tumida,mammalia,chiroptera,vespertilionidae,black-winged little yellow bat
glischropus javanus,mammalia,chiroptera,vespertilionidae,javan thick-thumbed bat
trichosurus cunninghami,mammalia,diprotodontia,phalangeridae,mountain brushtail possum
mops petersoni,mammalia,chiroptera,molossidae,peterson's free-tailed bat
gardnerycteris keenani,mammalia,chiroptera,phyllostomidae,keenan's hairy-nosed bat
phalanger lullulae,mammalia,diprotodontia,phalangeridae,woodlark cuscus
acomys russatus,mammalia,rodentia,muridae,golden spiny mouse
sciurus spadiceus,mammalia,rodentia,sciuridae,southern amazon red squirrel
leptonycteris nivalis,mammalia,chiroptera,phyllostomidae,greater long-nosed bat
dasypterus xanthinus,mammalia,chiroptera,vespertilionidae,western yellow bat
neoromicia somalica,mammalia,chiroptera,vespertilionidae,somali serotine
mus triton,mammalia,rodentia,muridae,gray-bellied mouse
neoromicia anchietae,mammalia,chiroptera,vespertilionidae,anchieta's pipistrelle
scotomanes ornatus,mammalia,chiroptera,vespertilionidae,harlequin bat
microtus montanus,mammalia,rodentia,cricetidae,montane vole
tamias sonomae,mammalia,rodentia,sciuridae,sonoma chipmunk
akodon siberiae,mammalia,rodentia,cricetidae,cochabamba akodont
nycticeinops macrocephalus,mammalia,chiroptera,vespertilionidae,large headed pipistrelle
sturnira bogotensis,mammalia,chiroptera,phyllostomidae,bogota yellow-shouldered bat
gerbillus vivax,mammalia,rodentia,muridae,vivacious gerbil
gerbilliscus nigricaudus,mammalia,rodentia,muridae,black-tailed gerbil
myotis clydejonesi,mammalia,chiroptera,vespertilionidae,clyde jones's myotis
myotis browni,mammalia,chiroptera,vespertilionidae,brown's whiskered myotis
micronycteris brosseti,mammalia,chiroptera,phyllostomidae,brosset's big-eared bat
sigmodon mascotensis,mammalia,rodentia,cricetidae,jaliscan cotton rat
allactaga hotsoni,mammalia,rodentia,dipodidae,hotson's five-toed jerboa
neotoma floridana,mammalia,rodentia,cricetidae,eastern woodrat
myotis emarginatus,mammalia,chiroptera,vespertilionidae,geoffroy's myotis
reithrodontomys chrysopsis,mammalia,rodentia,cricetidae,volcano harvest mouse
glauconycteris atra,mammalia,chiroptera,vespertilionidae,blackish butterfly bat
sigmodon hirsutus,mammalia,rodentia,cricetidae,southern cotton rat
akodon azarae,mammalia,rodentia,cricetidae,azara's akodont
myotis ancricola,mammalia,chiroptera,vespertilionidae,valley myotis
pseudoromicia tenuipinnis,mammalia,chiroptera,vespertilionidae,slender-winged pipistrelle bat
marmota kastschenkoi,mammalia,rodentia,sciuridae,forest steppe marmot
tonatia saurophila,mammalia,chiroptera,phyllostomidae,stripe-headed round-eared bat
micronycteris microtis,mammalia,chiroptera,phyllostomidae,common big-eared bat
hypsugo pulveratus,mammalia,chiroptera,vespertilionidae,chinese pipistrelle
emballonura monticola,mammalia,chiroptera,emballonuridae,lesser sheath-tailed bat
microtus socialis,mammalia,rodentia,cricetidae,social vole
alticola albicaudus,mammalia,rodentia,cricetidae,white-tailed mountain vole
myotis insularum,mammalia,chiroptera,vespertilionidae,insular myotis
myotis annamiticus,mammalia,chiroptera,vespertilionidae,annamit myotis
sciurotamias davidianus,mammalia,rodentia,sciuridae,père david's rock squirrel
alticola montosa,mammalia,rodentia,cricetidae,central kashmir vole
lophostoma brasiliense,mammalia,chiroptera,phyllostomidae,pygmy round-eared bat
macaca sylvanus,mammalia,primates,cercopithecidae,barbary macaque
cercocebus agilis,mammalia,primates,cercopithecidae,agile mangabey
presbytis siamensis,mammalia,primates,cercopithecidae,pale-thighed langur
rungwecebus kipunji,mammalia,primates,cercopithecidae,highland mangabey
nasalis larvatus,mammalia,primates,cercopithecidae,proboscis monkey
lichonycteris obscura,mammalia,chiroptera,phyllostomidae,dark long-tongued bat
colobus angolensis,mammalia,primates,cercopithecidae,angola colobus
pygathrix nigripes,mammalia,primates,cercopithecidae,black-shanked douc
platyrrhinus brachycephalus,mammalia,chiroptera,phyllostomidae,short-headed broad-nosed bat
trachypithecus selangorensis,mammalia,primates,cercopithecidae,selangor silvery langur
colobus caudatus,mammalia,primates,cercopithecidae,mount kilimanjaro guereza
pygathrix cinerea,mammalia,primates,cercopithecidae,gray-shanked douc
piliocolobus rufomitratus,mammalia,primates,cercopithecidae,tana river red colobus
cercopithecus nictitans,mammalia,primates,cercopithecidae,greater spot-nosed monkey
platyrrhinus fusciventris,mammalia,chiroptera,phyllostomidae,brown-bellied broad-nosed bat
vampyriscus brocki,mammalia,chiroptera,phyllostomidae,brock's yellow-eared bat
vampyressa pusilla,mammalia,chiroptera,phyllostomidae,little yellow-eared bat
semnopithecus vetulus,mammalia,primates,cercopithecidae,purple-faced langur
semnopithecus priam,mammalia,primates,cercopithecidae,tufted gray langur
presbytis comata,mammalia,primates,cercopithecidae,grizzled leaf monkey
centurio senex,mammalia,chiroptera,phyllostomidae,wrinkle-faced bat
macaca fuscata,mammalia,primates,cercopithecidae,japanese macaque
anoura peruana,mammalia,chiroptera,phyllostomidae,tschudi's tailless bat
trachypithecus popa,mammalia,primates,cercopithecidae,popa langur
platyrrhinus umbratus,mammalia,chiroptera,phyllostomidae,shadowy broad-nosed bat
phyllonycteris poeyi,mammalia,chiroptera,phyllostomidae,cuban flower bat
artibeus jamaicensis,mammalia,chiroptera,phyllostomidae,jamaican fruit-eating bat
artibeus watsoni,mammalia,chiroptera,phyllostomidae,thomas's fruit-eating bat
mustela frenata,mammalia,carnivora,mustelidae,long-tailed weasel
genetta bourloni,mammalia,carnivora,viverridae,bourlon's genet
petrogale inornata,mammalia,diprotodontia,macropodidae,unadorned rock-wallaby
pteropus ornatus,mammalia,chiroptera,pteropodidae,ornate flying fox
lenomys meyeri,mammalia,rodentia,muridae,meyer's lenomys
pelomys campanae,mammalia,rodentia,muridae,angolan pelomys
blanfordimys juldaschi,mammalia,rodentia,cricetidae,juniper vole
hapalemur griseus,mammalia,primates,lemuridae,gray bamboo lemur
eumops nanus,mammalia,chiroptera,molossidae,northern dwarf bonneted bat
dendromus nyasae,mammalia,rodentia,nesomyidae,kivu african climbing mouse
apomys musculus,mammalia,rodentia,muridae,least philippine apomys
maxomys wattsi,mammalia,rodentia,muridae,watts's sulawesi maxomys
neodon forresti,mammalia,rodentia,cricetidae,forrest's mountain vole
kerivoula lenis,mammalia,chiroptera,vespertilionidae,lenis woolly bat
eoglaucomys fimbriatus,mammalia,rodentia,sciuridae,kashmir flying squirrel
hylobates muelleri,mammalia,primates,hylobatidae,borneo gibbon
graphiurus johnstoni,mammalia,rodentia,gliridae,johnston's african dormouse
brachytarsomys villosa,mammalia,rodentia,nesomyidae,hairy-tailed antsangy
oecomys flavicans,mammalia,rodentia,cricetidae,tawny oecomys
murina recondita,mammalia,chiroptera,vespertilionidae,dun tube-nosed bat
peromyscus nasutus,mammalia,rodentia,cricetidae,northern rock deermouse
leptomys paulus,mammalia,rodentia,muridae,leptomys paulus
cerradomys subflavus,mammalia,rodentia,cricetidae,flavescent oryzomys
niviventer coninga,mammalia,rodentia,muridae,spiny taiwan niviventer
taeromys callitrichus,mammalia,rodentia,muridae,greater taeromys
proedromys bedfordi,mammalia,rodentia,cricetidae,duke of bedford's vole
oligoryzomys arenalis,mammalia,rodentia,cricetidae,sandy colilargo
murina harpioloides,mammalia,chiroptera,vespertilionidae,vietnamese tube-nosed bat
leopoldamys siporanus,mammalia,rodentia,muridae,mentawai archipelago leopoldamys
spalax uralensis,mammalia,rodentia,spalacidae,kazakhstan blind mole rat
saccolaimus peli,mammalia,chiroptera,emballonuridae,black-hawk bat
kerodon acrobata,mammalia,rodentia,caviidae,climbing cavy
cannomys badius,mammalia,rodentia,spalacidae,lesser bamboo rat
rhipidomys mastacalis,mammalia,rodentia,cricetidae,atlantic forest rhipidomys
plecturocebus oenanthe,mammalia,primates,pitheciidae,rio mayo titi
apodemus semotus,mammalia,rodentia,muridae,taiwan field mouse
lonchorhina inusitata,mammalia,chiroptera,phyllostomidae,uncommon sword-nosed bat
epomops buettikoferi,mammalia,chiroptera,pteropodidae,buettikofer's epauletted bat
thomasomys baeops,mammalia,rodentia,cricetidae,beady-eyed mouse
cricetus cricetus,mammalia,rodentia,cricetidae,black-bellied hamster
habromys ixtlani,mammalia,rodentia,cricetidae,ixtlán deermouse
melomys burtoni,mammalia,rodentia,muridae,grassland melomys
juscelinomys candango,mammalia,rodentia,cricetidae,candango akodont
rattus giluwensis,mammalia,rodentia,muridae,mount giluwe rat
apodemus witherbyi,mammalia,rodentia,muridae,steppe field mouse
sorex unguiculatus,mammalia,soricomorpha,soricidae,long-clawed shrew
tachyoryctes annectens,mammalia,rodentia,spalacidae,mianzini african mole rat
rhipidomys couesi,mammalia,rodentia,cricetidae,coues' rhipidomys
plecturocebus moloch,mammalia,primates,pitheciidae,red-bellied titi
apomys abrae,mammalia,rodentia,muridae,luzon cordillera apomys
balionycteris maculata,mammalia,chiroptera,pteropodidae,bornean spotted-winged fruit bat
harpyionycteris whiteheadi,mammalia,chiroptera,pteropodidae,harpy fruit bat
aethomys bocagei,mammalia,rodentia,muridae,bocage's aethomys
thomasomys eleusis,mammalia,rodentia,cricetidae,peruvian oldfield mouse
cricetulus barabensis,mammalia,rodentia,cricetidae,striped dwarf hamster
chaerephon ansorgei,mammalia,chiroptera,molossidae,ansorge's free-tailed bat
sorex buchariensis,mammalia,soricomorpha,soricidae,buchara shrew
pteropus ennisae,mammalia,chiroptera,pteropodidae,new ireland masked flying fox
pseudomys delicatulus,mammalia,rodentia,muridae,delicate pseudomys
rhombomys opimus,mammalia,rodentia,muridae,great gerbil
neoplatymops mattogrossensis,mammalia,chiroptera,molossidae,mato grosso dog-faced bat
brucepattersonius misionensis,mammalia,rodentia,cricetidae,misiones akodont
avahi occidentalis,mammalia,primates,indriidae,western woolly lemur
notocitellus adocetus,mammalia,rodentia,sciuridae,tropical ground squirrel
sundasciurus mindanensis,mammalia,rodentia,sciuridae,mindanao squirrel
proechimys quadruplicatus,mammalia,rodentia,echimyidae,napo spiny-rat
sorex arcticus,mammalia,soricomorpha,soricidae,arctic shrew
hylomyscus alleni,mammalia,rodentia,muridae,allen's hylomyscus
vernaya fulva,mammalia,rodentia,muridae,vernay's climbing mouse
rattus blangorum,mammalia,rodentia,muridae,aceh rat
zaglossus attenboroughi,mammalia,monotremata,tachyglossidae,sir david's long-beaked echidna
tachyglossus aculeatus,mammalia,monotremata,tachyglossidae,short-beaked echidna
zaglossus bruijni,mammalia,monotremata,tachyglossidae,new guinean echidna
zaglossus bartoni,mammalia,monotremata,tachyglossidae,eastern long-beaked echidna
ornithorhynchus anatinus,mammalia,monotremata,ornithorhynchidae,platypus
moschiola meminna,mammalia,artiodactyla,tragulidae,indian spotted chevrotain
trichechus senegalensis,mammalia,sirenia,trichechidae,african manatee
lepus tolai,mammalia,lagomorpha,leporidae,tolai hare
loxodonta cyclotis,mammalia,proboscidea,elephantidae,african forest elephant
tupaia minor,mammalia,scandentia,tupaiidae,pygmy tree shrew
tapirus pinchaque,mammalia,perissodactyla,tapiridae,mountain tapir
solenodon paradoxus,mammalia,soricomorpha,solenodontidae,haitian solenodon
procavia capensis,mammalia,hyracoidea,procaviidae,rock hyrax
caenolestes condorensis,mammalia,paucituberculata,caenolestidae,andean caenolestid
tragulus williamsoni,mammalia,artiodactyla,tragulidae,williamson's mouse-deer
lepus americanus,mammalia,lagomorpha,leporidae,snowshoe hare
lepus tibetanus,mammalia,lagomorpha,leporidae,desert hare
giraffa giraffa,mammalia,artiodactyla,giraffidae,southern giraffe
sylvilagus graysoni,mammalia,lagomorpha,leporidae,tres marias cottontail
sylvilagus tapetillus,mammalia,lagomorpha,leporidae,dwarf tapetí
sylvilagus aquaticus,mammalia,lagomorpha,leporidae,cane cutter
lepus corsicanus,mammalia,lagomorpha,leporidae,corsican hare
lestoros inca,mammalia,paucituberculata,caenolestidae,incan caenolestid
elephantulus rozeti,mammalia,macroscelidea,macroscelididae,north african elephant shrew
nesophontes paramicrus,mammalia,soricomorpha,nesophontidae,st. michel nesophontes
rhynchocyon chrysopygus,mammalia,macroscelidea,macroscelididae,golden-rumped elephant shrew
ptilocercus lowii,mammalia,scandentia,ptilocercidae,pen-tailed tree shrew
lepus insularis,mammalia,lagomorpha,leporidae,black jackrabbit
moschus moschiferus,mammalia,artiodactyla,moschidae,siberian musk deer
sylvilagus nuttallii,mammalia,lagomorpha,leporidae,mountain cottontail
hippopotamus lemerlei,mammalia,artiodactyla,hippopotamidae,madagascan dwarf hippopotamus
pronolagus rupestris,mammalia,lagomorpha,leporidae,smith's red rock hare
dendrogale murina,mammalia,scandentia,tupaiidae,northern smooth-tailed treeshrew
dendrohyrax arboreus,mammalia,hyracoidea,procaviidae,southern tree hyrax
sylvilagus fulvescens,mammalia,lagomorpha,leporidae,fulvous rabbit
rhinoceros sondaicus,mammalia,perissodactyla,rhinocerotidae,javan rhinoceros
tupaia dorsalis,mammalia,scandentia,tupaiidae,striped tree shrew
poelagus marjorita,mammalia,lagomorpha,leporidae,bunyoro rabbit
lama glama,mammalia,artiodactyla,camelidae,guanaco
moschus berezovskii,mammalia,artiodactyla,moschidae,chinese forest musk deer
lepus oiostolus,mammalia,lagomorpha,leporidae,gray-tailed hare
tupaia splendidula,mammalia,scandentia,tupaiidae,ruddy tree shrew
orycteropus afer,mammalia,tubulidentata,orycteropodidae,aardvark
nesophontes micrus,mammalia,soricomorpha,nesophontidae,western cuban nesophontes
elephantulus intufi,mammalia,macroscelidea,macroscelididae,bushveld elephant shrew
caenolestes caniventer,mammalia,paucituberculata,caenolestidae,gray-bellied caenolestid
lepus castroviejoi,mammalia,lagomorpha,leporidae,broom hare
lepus capensis,mammalia,lagomorpha,leporidae,arabian hare
antilocapra americana,mammalia,artiodactyla,antilocapridae,pronghorn
pecari tajacu,mammalia,artiodactyla,tayassuidae,collared peccary
caprolagus hispidus,mammalia,lagomorpha,leporidae,assam rabbit
moschus leucogaster,mammalia,artiodactyla,moschidae,himalayan musk deer
elephantulus fuscipes,mammalia,macroscelidea,macroscelididae,dusky-footed elephant shrew
nesophontes longirostris,mammalia,soricomorpha,nesophontidae,slender cuban nesophontes
tupaia palawanensis,mammalia,scandentia,tupaiidae,palawan tree shrew
lepus saxatilis,mammalia,lagomorpha,leporidae,cape scrub hare
giraffa camelopardalis,mammalia,artiodactyla,giraffidae,giraffe
galeopterus variegatus,mammalia,dermoptera,cynocephalidae,sunda flying lemur
nesolagus netscheri,mammalia,lagomorpha,leporidae,sumatran rabbit
tupaia gracilis,mammalia,scandentia,tupaiidae,slender tree shrew
elephas maximus,mammalia,proboscidea,elephantidae,asian elephant
dicerorhinus sumatrensis,mammalia,perissodactyla,rhinocerotidae,asian two-horned rhinoceros
solenodon arredondoi,mammalia,soricomorpha,solenodontidae,giant solenodon
tragulus kanchil,mammalia,artiodactyla,tragulidae,lesser mouse-deer
macrotis leucura,mammalia,peramelemorphia,thylacomyidae,lesser bilby
anathana ellioti,mammalia,scandentia,tupaiidae,madras tree shrew
sylvilagus brasiliensis,mammalia,lagomorpha,leporidae,forest rabbit
hexaprotodon madagascariensis,mammalia,artiodactyla,hippopotamidae,madagascan pygmy hippopotamus
sylvilagus floridanus,mammalia,lagomorpha,leporidae,eastern cottontail
lepus granatensis,mammalia,lagomorpha,leporidae,granada hare
cynocephalus volans,mammalia,dermoptera,cynocephalidae,philippine flying lemur
lepus europaeus,mammalia,lagomorpha,leporidae,brown hare
thylacinus cynocephalus,mammalia,dasyuromorphia,thylacinidae,tasmanian tiger
macroscelides proboscideus,mammalia,macroscelidea,macroscelididae,short-eared elephant shrew
elephantulus rupestris,mammalia,macroscelidea,macroscelididae,western rock elephant shrew
dromiciops gliroides,mammalia,microbiotheria,microbiotheriidae,monito del monte
lepus flavigularis,mammalia,lagomorpha,leporidae,tehuantepec jackrabbit
sylvilagus bachmani,mammalia,lagomorpha,leporidae,brush rabbit
hexaprotodon liberiensis,mammalia,artiodactyla,hippopotamidae,pygmy hippopotamus
sylvilagus cunicularius,mammalia,lagomorpha,leporidae,mexican cottontail
lepus habessinicus,mammalia,lagomorpha,leporidae,abyssinian hare
macrotis lagotis,mammalia,peramelemorphia,thylacomyidae,greater bilby
tragulus nigricans,mammalia,artiodactyla,tragulidae,philippine mouse-deer
sylvilagus obscurus,mammalia,lagomorpha,leporidae,appalachian cottontail
ceratotherium simum,mammalia,perissodactyla,rhinocerotidae,southern white rhinoceros
solenodon cubanus,mammalia,soricomorpha,solenodontidae,cuban solenodon
tupaia javanica,mammalia,scandentia,tupaiidae,horsfield's treeshrew
lepus yarkandensis,mammalia,lagomorpha,leporidae,yarkand hare
vicugna vicugna,mammalia,artiodactyla,camelidae,vicugna
tragulus napu,mammalia,artiodactyla,tragulidae,greater mouse-deer
lepus sinensis,mammalia,lagomorpha,leporidae,chinese hare
tupaia nicobarica,mammalia,scandentia,tupaiidae,nicobar tree shrew
nesophontes hypomicrus,mammalia,soricomorpha,nesophontidae,atalaya nesophontes
elephantulus edwardii,mammalia,macroscelidea,macroscelididae,cape elephant shrew
moschus cupreus,mammalia,artiodactyla,moschidae,kashmir musk deer
chaeropus ecaudatus,mammalia,peramelemorphia,chaeropodidae,pig-footed bandicoot
bunolagus monticularis,mammalia,lagomorpha,leporidae,bushman hare
lepus alleni,mammalia,lagomorpha,leporidae,allen's jackrabbit
sylvilagus gabbi,mammalia,lagomorpha,leporidae,central american lowland forest cottontail
tapirus kabomani,mammalia,perissodactyla,tapiridae,kabomani tapir
sylvilagus varynaensis,mammalia,lagomorpha,leporidae,barinas wild rabbit
sylvilagus robustus,mammalia,lagomorpha,leporidae,davis mountain cottontail
giraffa reticulata,mammalia,artiodactyla,giraffidae,reticulated giraffe
sylvilagus mansuetus,mammalia,lagomorpha,leporidae,san josé brush rabbit
sylvilagus apollinaris,mammalia,lagomorpha,leporidae,apollinaris' cottontail
lepus townsendii,mammalia,lagomorpha,leporidae,white-tailed jack rabbit
notoryctes caurinus,mammalia,notoryctemorphia,notoryctidae,northern marsupial mole
lepus comus,mammalia,lagomorpha,leporidae,yunnan hare
caenolestes convelatus,mammalia,paucituberculata,caenolestidae,northern caenolestid
elephantulus myurus,mammalia,macroscelidea,macroscelididae,eastern rock elephant shrew
nesophontes submicrus,mammalia,soricomorpha,nesophontidae,lesser cuban nesophontes
rhynchocyon petersi,mammalia,macroscelidea,macroscelididae,black and rufous elephant shrew
tupaia tana,mammalia,scandentia,tupaiidae,large tree shrew
lepus nigricollis,mammalia,lagomorpha,leporidae,black-napped hare
moschus chrysogaster,mammalia,artiodactyla,moschidae,alpine musk deer
oryctolagus cuniculus,mammalia,lagomorpha,leporidae,european rabbit
camelus dromedarius,mammalia,artiodactyla,camelidae,one-humped camel
pronolagus crassicaudatus,mammalia,lagomorpha,leporidae,greater red rockhare
tupaia chrysogaster,mammalia,scandentia,tupaiidae,golden-bellied tree shrew
acrocodia indica,mammalia,perissodactyla,tapiridae,malay tapir
rhinoceros unicornis,mammalia,perissodactyla,rhinocerotidae,indian one-horned rhinoceros
nesophontes superstes,mammalia,soricomorpha,nesophontidae,cuban nesophontes
tupaia belangeri,mammalia,scandentia,tupaiidae,northern tree shrew
pronolagus randensis,mammalia,lagomorpha,leporidae,jameson's red rock hare
camelus bactrianus,mammalia,artiodactyla,camelidae,bactrian camel
sylvilagus transitionalis,mammalia,lagomorpha,leporidae,coney
moschus fuscus,mammalia,artiodactyla,moschidae,black musk deer
lepus mandshuricus,mammalia,lagomorpha,leporidae,manchurian hare
urogale everetti,mammalia,scandentia,tupaiidae,mindanao tree shrew
rhynchocyon cirnei,mammalia,macroscelidea,macroscelididae,checkered elephant shrew
nesophontes zamicrus,mammalia,soricomorpha,nesophontidae,haitian nesophontes
elephantulus revoili,mammalia,macroscelidea,macroscelididae,somali elephant shrew
caenolestes fuliginosus,mammalia,paucituberculata,caenolestidae,dusky caenolestid
lepus coreanus,mammalia,lagomorpha,leporidae,korean hare
notoryctes typhlops,mammalia,notoryctemorphia,notoryctidae,southern marsupial mole
sylvilagus palustris,mammalia,lagomorpha,leporidae,marsh rabbit
sylvilagus insonus,mammalia,lagomorpha,leporidae,omilteme cottontail
giraffa tippelskirchi,mammalia,artiodactyla,giraffidae,masai giraffe
sylvilagus cognatus,mammalia,lagomorpha,leporidae,manzano mountain cottontail
sylvilagus parentum,mammalia,lagomorpha,leporidae,suriname lowland forest cottontail
lepus timidus,mammalia,lagomorpha,leporidae,mountain hare
prolagus sardus,mammalia,lagomorpha,prolagidae,sardinian pika
moschus anhuiensis,mammalia,artiodactyla,moschidae,anhui musk deer
lepus arcticus,mammalia,lagomorpha,leporidae,arctic hare
elephantulus brachyrhynchus,mammalia,macroscelidea,macroscelididae,short-snouted elephant shrew
nesophontes edithae,mammalia,soricomorpha,nesophontidae,puerto rican nesophontes
tupaia montana,mammalia,scandentia,tupaiidae,mountain tree shrew
trichechus manatus,mammalia,sirenia,trichechidae,caribbean manatee
tragulus javanicus,mammalia,artiodactyla,tragulidae,java mouse-deer
pronolagus saundersiae,mammalia,lagomorpha,leporidae,hewitt's red rock hare
hyemoschus aquaticus,mammalia,artiodactyla,tragulidae,water chevrotain
trichechus inunguis,mammalia,sirenia,trichechidae,amazon manatee
lepus victoriae,mammalia,lagomorpha,leporidae,african savanna hare
tupaia longipes,mammalia,scandentia,tupaiidae,long-footed tree shrew
solenodon marcanoi,mammalia,soricomorpha,solenodontidae,marcano's solenodon
tapirus terrestris,mammalia,perissodactyla,tapiridae,brazilian tapir
heterohyrax brucei,mammalia,hyracoidea,procaviidae,yellow-spotted rock hyrax
lepus othus,mammalia,lagomorpha,leporidae,tundra hare
tragulus versicolor,mammalia,artiodactyla,tragulidae,vietnam mouse-deer
sylvilagus dicei,mammalia,lagomorpha,leporidae,dice's cottontail
catagonus wagneri,mammalia,artiodactyla,tayassuidae,chacoan peccary
sylvilagus andinus,mammalia,lagomorpha,leporidae,andean cottontail
sylvilagus audubonii,mammalia,lagomorpha,leporidae,audubon's cottontail
lepus fagani,mammalia,lagomorpha,leporidae,ethiopian hare
rhyncholestes raphanurus,mammalia,paucituberculata,caenolestidae,chilean 'shrew' opossum
elephantulus rufescens,mammalia,macroscelidea,macroscelididae,rufous elephant shrew
petrodromus tetradactylus,mammalia,macroscelidea,macroscelididae,four-toed elephant shrew
myrmecobius fasciatus,mammalia,dasyuromorphia,myrmecobiidae,numbat
lepus hainanus,mammalia,lagomorpha,leporidae,hainan hare
hippopotamus amphibius,mammalia,artiodactyla,hippopotamidae,common hippopotamus
romerolagus diazi,mammalia,lagomorpha,leporidae,volcano rabbit
dendrogale melanura,mammalia,scandentia,tupaiidae,bornean smooth-tailed treeshrew
ceratotherium cottoni,mammalia,perissodactyla,rhinocerotidae,northern white rhinoceros
brachylagus idahoensis,mammalia,lagomorpha,leporidae,pygmy rabbit
vicugna pacos,mammalia,artiodactyla,camelidae,lama
dendrohyrax dorsalis,mammalia,hyracoidea,procaviidae,western tree hyrax
diceros bicornis,mammalia,perissodactyla,rhinocerotidae,african black rhinoceros
loxodonta africana,mammalia,proboscidea,elephantidae,african bush elephant
tupaia glis,mammalia,scandentia,tupaiidae,common tree shrew
pentalagus furnessi,mammalia,lagomorpha,leporidae,amami rabbit
tupaia moellendorffi,mammalia,scandentia,tupaiidae,calamian treeshrew
okapia johnstoni,mammalia,artiodactyla,giraffidae,okapi
tupaia picta,mammalia,scandentia,tupaiidae,painted tree shrew
nesophontes major,mammalia,soricomorpha,nesophontidae,greater cuban nesophontes
elephantulus fuscus,mammalia,macroscelidea,macroscelididae,dusky elephant shrew
lepus brachyurus,mammalia,lagomorpha,leporidae,japanese hare
tayassu pecari,mammalia,artiodactyla,tayassuidae,white-lipped peccary
nesolagus timminsi,mammalia,lagomorpha,leporidae,annamite striped rabbit
lagenorhynchus australis,mammalia,cetacea,delphinidae,peale's dolphin
hippotragus leucophaeus,mammalia,artiodactyla,bovidae,blaaubok
erinaceus amurensis,mammalia,erinaceomorpha,erinaceidae,amur hedgehog
crocidura susiana,mammalia,soricomorpha,soricidae,iranian shrew
bdeogale crassicauda,mammalia,carnivora,herpestidae,bushy-tailed mongoose
canis lupaster,mammalia,carnivora,canidae,african wolf
vulpes lagopus,mammalia,carnivora,canidae,arctic fox
gazella bennettii,mammalia,artiodactyla,bovidae,indian gazelle
suncus varilla,mammalia,soricomorpha,soricidae,lesser dwarf shrew
crocidura malayana,mammalia,soricomorpha,soricidae,malayan shrew
rusa unicolor,mammalia,artiodactyla,cervidae,sambar
crocidura fuscomurina,mammalia,soricomorpha,soricidae,bicolored musk shrew
bubalus mephistopheles,mammalia,artiodactyla,bovidae,short-horned water buffalo
uropsilus andersoni,mammalia,soricomorpha,talpidae,anderson's shrew mole
caperea marginata,mammalia,cetacea,neobalaenidae,pygmy right whale
manis temminckii,mammalia,pholidota,manidae,cape pangolin
dasypus sabanicola,mammalia,cingulata,dasypodidae,llanos long-nosed armadillo
myosorex tenuis,mammalia,soricomorpha,soricidae,thin mouse shrew
monodelphis sorex,mammalia,didelphimorphia,didelphidae,southern red-sided opossum
hyperoodon ampullatus,mammalia,cetacea,hyperoodontidae,north atlantic bottle-nosed whale
canis mesomelas,mammalia,carnivora,canidae,black-backed jackal
capra walie,mammalia,artiodactyla,bovidae,walia
hippotragus equinus,mammalia,artiodactyla,bovidae,roan antelope
crocidura nigripes,mammalia,soricomorpha,soricidae,black-footed shrew
helarctos malayanus,mammalia,carnivora,ursidae,malayan sun bear
mazama americana,mammalia,artiodactyla,cervidae,south american red brocket
arctocephalus pusillus,mammalia,carnivora,otariidae,brown fur seal
isoodon obesulus,mammalia,peramelemorphia,peramelidae,southern brown bandicoot
ochotona hyperborea,mammalia,lagomorpha,ochotonidae,northern pika
cratogeomys goldmani,mammalia,rodentia,geomyidae,goldman's pocket gopher
ochotona thomasi,mammalia,lagomorpha,ochotonidae,thomas' pika
microperoryctes longicauda,mammalia,peramelemorphia,peramelidae,striped bandicoot
hydropotes inermis,mammalia,artiodactyla,cervidae,chinese water deer
vulpes chama,mammalia,carnivora,canidae,cape fox
crocidura phaeura,mammalia,soricomorpha,soricidae,guramba shrew
crocidura attenuata,mammalia,soricomorpha,soricidae,asian gray shrew
monodelphis glirina,mammalia,didelphimorphia,didelphidae,amazonian red-sided opossum
bassaricyon neblina,mammalia,carnivora,procyonidae,olinguito
pseudois nayaur,mammalia,artiodactyla,bovidae,bharal
bos grunniens,mammalia,artiodactyla,bovidae,domestic yak
steno bredanensis,mammalia,cetacea,delphinidae,rough-toothed dolphin
crocidura hutanis,mammalia,soricomorpha,soricidae,hutan shrew
neophocaena phocaenoides,mammalia,cetacea,phocoenidae,finless porpoise
micoureus regina,mammalia,didelphimorphia,didelphidae,bare-tailed woolly mouse opossum
herpestes fuscus,mammalia,carnivora,herpestidae,indian brown mongoose
crocidura zimmermanni,mammalia,soricomorpha,soricidae,cretan shrew
mungos gambianus,mammalia,carnivora,herpestidae,gambian mongoose
bradypus variegatus,mammalia,pilosa,bradypodidae,brown-throated sloth
sylvisorex vulcanorum,mammalia,soricomorpha,soricidae,volcano shrew
antilope cervicapra,mammalia,artiodactyla,bovidae,blackbuck
neotragus moschatus,mammalia,artiodactyla,bovidae,suni
crocidura hispida,mammalia,soricomorpha,soricidae,andaman spiny shrew
naemorhedus griseus,mammalia,artiodactyla,bovidae,chinese goral
saiga borealis,mammalia,artiodactyla,bovidae,mongolian saiga
crocidura latona,mammalia,soricomorpha,soricidae,latona shrew
