sci_name,class,order,family,primary_com_name
miniopterus sororculus,mammalia,chiroptera,miniopteridae,sorocula long-fingered bat
euroscaptor grandis,mammalia,soricomorpha,talpidae,greater chinese mole
pseudantechinus macdonnellensis,mammalia,dasyuromorphia,dasyuridae,fat-tailed false antechinus
hipposideros turpis,mammalia,chiroptera,hipposideridae,lesser leaf-nosed bat
cryptotis magna,mammalia,soricomorpha,soricidae,big mexican small-eared shrew
dipodomys merriami,mammalia,rodentia,heteromyidae,merriam's kangaroo rat
callosciurus caniceps,mammalia,rodentia,sciuridae,gray-bellied squirrel
prionailurus rubiginosus,mammalia,carnivora,felidae,rusty-spotted cat
tamiops swinhoei,mammalia,rodentia,sciuridae,swinhoe's striped squirrel
eremitalpa granti,mammalia,afrosoricida,chrysochloridae,grant's golden mole
rhinolophus philippinensis,mammalia,chiroptera,rhinolophidae,large-eared horseshoe bat
cryptotis mera,mammalia,soricomorpha,soricidae,darién small-eared shrew
rhinolophus malayanus,mammalia,chiroptera,rhinolophidae,malayan horseshoe bat
callosciurus pygerythrus,mammalia,rodentia,sciuridae,irrawaddy squirrel
natalus mexicanus,mammalia,chiroptera,natalidae,mexican funnel-eared bat
galidictis fasciata,mammalia,carnivora,eupleridae,broad-striped malagasy mongoose
hipposideros alongensis,mammalia,chiroptera,hipposideridae,ha long leaf-nosed bat
fossa fossana,mammalia,carnivora,eupleridae,malagasy civet
microdipodops pallidus,mammalia,rodentia,heteromyidae,pale kangaroo mouse
saguinus oedipus,mammalia,primates,callitrichidae,cotton-top tamarin
neomys fodiens,mammalia,soricomorpha,soricidae,eurasian water shrew
abrocoma shistacea,mammalia,rodentia,abrocomidae,sierra del tontal chinchilla rat
nyctiellus lepidus,mammalia,chiroptera,natalidae,gervais's funnel-eared bat
sminthopsis fuliginosus,mammalia,dasyuromorphia,dasyuridae,sooty dunnart
miniopterus pallidus,mammalia,chiroptera,miniopteridae,pallid long-fingered bat
mormoops megalophylla,mammalia,chiroptera,mormoopidae,ghost-faced bat
mico argentatus,mammalia,primates,callitrichidae,silvery marmoset
ctenomys saltarius,mammalia,rodentia,ctenomyidae,salta tuco-tuco
sminthopsis boullangerensis,mammalia,dasyuromorphia,dasyuridae,boullanger island dunnart
aotus griseimembra,mammalia,primates,aotidae,gray-legged night monkey
antechinus leo,mammalia,dasyuromorphia,dasyuridae,cinnamon antechinus
rhinolophus mossambicus,mammalia,chiroptera,rhinolophidae,mozambican horseshoe bat
microgale longicaudata,mammalia,afrosoricida,tenrecidae,lesser long-tailed shrew tenrec
hipposideros caffer,mammalia,chiroptera,hipposideridae,sundevall's leaf-nosed bat
blarinella griselda,mammalia,soricomorpha,soricidae,indochinese short-tailed shrew
acinonyx jubatus,mammalia,carnivora,felidae,cheetah
sorex minutissimus,mammalia,soricomorpha,soricidae,asian minute shrew
rhinolophus adami,mammalia,chiroptera,rhinolophidae,adam's horseshoe bat
blarina carolinensis,mammalia,soricomorpha,soricidae,southern short-tailed shrew
dasyuroides byrnei,mammalia,dasyuromorphia,dasyuridae,kowari
hyosciurus heinrichi,mammalia,rodentia,sciuridae,montane long-nosed squirrel
ctenomys maulinus,mammalia,rodentia,ctenomyidae,maule tuco-tuco
carlito syrichta,mammalia,primates,tarsiidae,philippine tarsier
galago senegalensis,mammalia,primates,galagidae,northern lesser galago
sorex sclateri,mammalia,soricomorpha,soricidae,sclater's shrew
sminthopsis psammophila,mammalia,dasyuromorphia,dasyuridae,sandhill dunnart
ctenomys scagliai,mammalia,rodentia,ctenomyidae,scaglia's tuco-tuco
miniopterus tristis,mammalia,chiroptera,miniopteridae,great bent-winged bat
leontopithecus rosalia,mammalia,primates,callitrichidae,golden lion tamarin
notopteris macdonaldii,mammalia,chiroptera,pteropodidae,fijian long-tailed fruit bat
perognathus inornatus,mammalia,rodentia,heteromyidae,san joaquin pocket mouse
