Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2019,Jan-Jun 2019,Africa,Egypt,"Ad Daqahliyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Ad Daqahliyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,1000,Animal,10,10,990,0,45914
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1;H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1;H5N8",Domestic,"Birds",-,-,-,56,Animal,11,48,0,8,89084
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Buhayrah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,8,Animal,3,6,0,2,31669
2019,Jan-Jun 2019,Africa,Egypt,"Al Fayyum","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Fayyum","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,20,Animal,6,14,0,6,47935
2019,Jan-Jun 2019,Africa,Egypt,"Al Gharbiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Gharbiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,3000,Animal,280,2730,0,270,53938
2019,Jan-Jun 2019,Africa,Egypt,"Al Jizah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Jizah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,1700,Animal,143,929,0,126,101533
2019,Jan-Jun 2019,Africa,Egypt,"Al Minya","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Minya","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,10000,Animal,370,9650,0,350,7650
2019,Jan-Jun 2019,Africa,Egypt,"Al Qahirah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Qahirah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,2,Animal,1,1,0,1,0
2019,Jan-Jun 2019,Africa,Egypt,"Al Qalyubiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Qalyubiyah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,9150,Animal,889,8285,0,865,71759
2019,Jan-Jun 2019,Africa,Egypt,"Al Wadi Al Jadid","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Al Wadi Al Jadid","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,500,Animal,54,456,0,44,5809
2019,Jan-Jun 2019,Africa,Egypt,"Aswan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Aswan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,7,Animal,2,5,0,2,17500
2019,Jan-Jun 2019,Africa,Egypt,"Asyut","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Asyut","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,5,Animal,2,4,0,1,0
2019,Jan-Jun 2019,Africa,Egypt,"Bani Suwayf","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Bani Suwayf","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,2500,Animal,200,2310,0,190,81500
2019,Jan-Jun 2019,Africa,Egypt,"Bur Sa'Id","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Bur Sa'Id","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,10,Animal,4,7,0,3,455
2019,Jan-Jun 2019,Africa,Egypt,"Bur Sa'Id","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Bur Sa'Id","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,6,Animal,3,6,0,0,1378
2019,Jan-Jun 2019,Africa,Egypt,"Dumyat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Dumyat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,4,Animal,2,3,0,1,15788
2019,Jan-Jun 2019,Africa,Egypt,"Dumyat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Dumyat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,4,Animal,2,4,0,0,3430
2019,Jan-Jun 2019,Africa,Egypt,"Janub Sina'","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Janub Sina'","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,60,Animal,6,54,0,6,4796
2019,Jan-Jun 2019,Africa,Egypt,"Qina","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Qina","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,2,Animal,2,2,0,0,0
2019,Jan-Jun 2019,Africa,Egypt,"Suhaj","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Egypt,"Suhaj","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,34000,Animal,980,33050,0,950,52859
2019,Jan-Jun 2019,Africa,Ghana,"Ashanti","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Ghana,"Ashanti","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,19639,Animal,19639,11626,45,7968,0
2019,Jan-Jun 2019,Africa,Namibia,"Karas","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,5,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Namibia,"Karas","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Jackass Penguin",-,-,-,14004,Animal,688,16,0,672,-
2019,Jan-Jun 2019,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Nigeria,"Edo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,1500,Animal,290,1250,0,250,-
2019,Jan-Jun 2019,Africa,South Africa,"Eastern Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"Eastern Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,1418,Animal,44,0,0,0,-
2019,Jan-Jun 2019,Africa,South Africa,"Free State","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"Free State","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,4372,Animal,75,1,0,0,-
2019,Jan-Jun 2019,Africa,South Africa,"North West Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"North West Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"Northern Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"Northern Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,2880,Animal,44,0,0,0,-
2019,Jan-Jun 2019,Africa,South Africa,"Western Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Africa,South Africa,"Western Cape Province","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N8",Domestic,"Birds",-,-,-,8266,Animal,52,0,0,12,-
2019,Jan-Jun 2019,Africa,South Africa,"Western Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Africa,Togo,"Région Maritime","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Guanajuato","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Guanajuato","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,50,Animal,30,25,0,25,-
2019,Jan-Jun 2019,Americas,Mexico,"Guerrero","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Guerrero","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,88,Animal,38,59,0,29,-
2019,Jan-Jun 2019,Americas,Mexico,"Hidalgo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Hidalgo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,2919,Animal,2378,597,0,2322,-
2019,Jan-Jun 2019,Americas,Mexico,"Jalisco","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Jalisco","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,2447,Animal,2247,1917,0,530,-
2019,Jan-Jun 2019,Americas,Mexico,"Mexico","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Mexico","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,440,Animal,440,60,0,380,-
2019,Jan-Jun 2019,Americas,Mexico,"Queretaro","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,6,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Queretaro","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,414918,Animal,2871,135212,277264,2442,-
2019,Jan-Jun 2019,Americas,Mexico,"Tlaxcala","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Tlaxcala","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,10,Animal,5,5,0,5,-
2019,Jan-Jun 2019,Americas,Mexico,"Veracruz","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Americas,Mexico,"Veracruz","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H7N3",Domestic,"Birds",-,-,-,25,Animal,13,22,0,3,-
2019,Jan-Jun 2019,Asia,Afghanistan,"Hirat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5 (N untyped)",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Afghanistan,"Kabul","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5 (N untyped)",Domestic,"Birds",-,-,-,-,Animal,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Khulna","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bangladesh,"Khulna","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"House Crow",-,-,-,-,Animal,31,-,-,31,-
2019,Jan-Jun 2019,Asia,Bhutan,"Chhukha","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Bhutan,"Chhukha","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,2000,Animal,264,1359,0,264,-
2019,Jan-Jun 2019,Asia,Cambodia,"Takeo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Cambodia,"Takeo","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Domestic,"Birds",-,-,-,100,Animal,10,100,0,0,-
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Liaoning","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Liaoning","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,25472,Animal,1000,24472,0,1000,0
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Liaoning","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H7N9",Domestic,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Liaoning","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H7N9",Wild,"Indian Peafowl",-,-,-,394,Animal,9,191,0,9,0
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Xinjiang","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Domestic,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Xinjiang","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Domestic,"Birds",-,-,-,11910,Animal,1503,10895,0,1015,0
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Yunnan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Domestic,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,China (People's Rep. of),"Yunnan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N6",Domestic,"Birds",-,-,-,56380,Animal,463,55917,0,463,0
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Changhua County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,9,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Changhua County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,198789,Animal,14091,184698,0,14091,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Hsinchu County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Hsinchu County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,100,Animal,100,0,0,100,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Kaohsiung City","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Kaohsiung City","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,5675,Animal,519,5465,0,210,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Pingtung County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Pingtung County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,42593,Animal,506,42087,0,506,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Taipei City","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,11,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Taipei City","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,254,Animal,59,204,0,50,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Taipei City","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Taipei City","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Grey Heron",-,-,-,-,Animal,1,0,0,1,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Yunlin County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Both animal categories,"",-,-,23,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Chinese Taipei,"Yunlin County","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N2",Domestic,"Birds",-,-,-,225606,Animal,6623,218983,0,6623,-
2019,Jan-Jun 2019,Asia,India,"Bihar","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Bihar","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,1315,Animal,7,1308,0,7,-
2019,Jan-Jun 2019,Asia,India,"Bihar","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Bihar","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,"House Crow",-,-,-,-,Animal,56,0,0,56,-
2019,Jan-Jun 2019,Asia,India,"Jharkhand","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Jharkhand","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,4849,Animal,26,4823,0,26,-
2019,Jan-Jun 2019,Asia,India,"Jharkhand","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Jharkhand","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,"House Crow",-,-,-,-,Animal,47,0,0,47,-
2019,Jan-Jun 2019,Asia,India,"Orissa","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Orissa","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,924,Animal,235,689,0,235,-
2019,Jan-Jun 2019,Asia,India,"Orissa","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,India,"Orissa","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N1",Wild,"Indian Pond Heron",-,-,-,-,Animal,1,0,0,1,-
2019,Jan-Jun 2019,Asia,Indonesia,"Bali","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,19,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Bali","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,2000,-,-,2000,-
2019,Jan-Jun 2019,Asia,Indonesia,"Banten","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Banten","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,4115,-,-,4115,-
2019,Jan-Jun 2019,Asia,Indonesia,"Bengkulu","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Bengkulu","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,50,Animal,3,-,-,3,-
2019,Jan-Jun 2019,Asia,Indonesia,"Di Yogyakarta","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Di Yogyakarta","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,48,Animal,53,-,-,53,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Barat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,6,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Barat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,10,-,-,9,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Tengah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,8,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Tengah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,11001,-,-,11001,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Timur","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,45,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Jawa Timur","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,1103,Animal,560,-,-,560,-
2019,Jan-Jun 2019,Asia,Indonesia,"Kalimantan Tengah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Kalimantan Tengah","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,72,-,-,72,-
2019,Jan-Jun 2019,Asia,Indonesia,"Lampung","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Lampung","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,205,Animal,15,-,-,15,-
2019,Jan-Jun 2019,Asia,Indonesia,"Riau","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Riau","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,4,-,-,4,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sulawesi Selatan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,21,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sulawesi Selatan","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,5483,-,-,5483,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sulawesi Tenggara","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,6,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sulawesi Tenggara","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,188,-,-,188,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sumatera Barat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2019,Jan-Jun 2019,Asia,Indonesia,"Sumatera Barat","High pathogenicity avian influenza viruses (poultry) (Inf. with)","H5N1",Domestic,"Birds",-,-,-,-,Animal,2005,-,-,2005,-
